player,matches,inn,overs,maiden,runs,wkts,bb_inn,avg,econ,sr,_4w,_5w,season
M Dixit (LUX),2,2,5.0,0,26,1,1/15,26.00,5.20,30.0,0,0,2020
JR Hazlewood (AUS),1,1,4.0,0,23,1,1/23,23.00,5.75,24.0,0,0,2020
Iftikhar Ahmed (PAK),2,2,4.0,0,38,1,1/7,38.00,9.50,24.0,0,0,2020
S Kushretha (LUX),4,4,14.0,0,102,1,1/27,102.00,7.28,84.0,0,0,2020
LM Jongwe (ZIM),14,14,50.4,0,400,26,4/18,15.38,7.89,11.6,1,0,2021
Waseem Abbas (MLT),13,13,45.3,1,321,24,5/37,13.37,7.05,11.3,1,1,2021
T Shamsi (SA),14,14,53.0,0,299,22,4/27,13.59,5.64,14.4,1,0,2021
Bilal Muhammad (MLT),13,13,49.0,3,279,19,4/10,14.68,5.69,15.4,1,0,2021
Mustafizur Rahman (BAN),10,10,35.2,2,179,18,4/12,9.94,5.06,11.7,1,0,2021
Nasum Ahmed (BAN),11,11,35.0,3,196,16,4/10,12.25,5.60,13.1,2,0,2021
MR Adair (IRE),6,6,23.0,0,167,15,4/23,11.13,7.26,9.2,1,0,2021
Hasan Ali (PAK),10,9,28.4,0,224,15,4/18,14.93,7.81,11.4,1,0,2021
Shoriful Islam (BAN),8,8,28.0,0,208,15,3/33,13.86,7.42,11.2,0,0,2021
V Vijh (LUX),8,7,23.5,0,172,15,4/19,11.46,7.21,9.5,1,0,2021
DJ Bravo (WI),12,9,31.0,0,217,14,4/19,15.50,7.00,13.2,1,0,2021
OC McCoy (WI),7,7,25.0,0,176,14,4/22,12.57,7.04,10.7,2,0,2021
Shakib Al Hasan (BAN),12,12,47.4,1,299,14,4/9,21.35,6.27,20.4,1,0,2021
S Lamichhane (NEP),5,5,19.5,0,163,13,4/48,12.53,8.21,9.1,1,0,2021
GF Linde (SA),11,11,36.0,0,267,13,3/23,20.53,7.41,16.6,0,0,2021
Sami Ullah (ROM),8,8,24.0,1,172,13,3/10,13.23,7.16,11.0,0,0,2021
PW Hasaranga (SL),9,9,35.0,0,221,12,4/9,18.41,6.31,17.5,1,0,2021
JR Hazlewood (AUS),8,8,30.4,1,201,12,3/12,16.75,6.55,15.3,0,0,2021
WP Masakadza (ZIM),14,14,44.0,0,287,12,3/20,23.91,6.52,22.0,0,0,2021
HR Walsh (WI),9,6,24.0,0,165,12,3/23,13.75,6.87,12.0,0,0,2021
Aqib Iqbal (Aut),7,7,26.0,0,160,11,5/5,14.54,6.15,14.1,0,1,2021
SVE Bharathi (GER),7,7,28.0,1,121,11,2/16,11.00,4.32,15.2,0,0,2021
PVD Chameera (SL),9,9,30.1,0,190,11,4/17,17.27,6.29,16.4,1,0,2021
Hassan Mehmood (SWE),5,5,16.0,1,115,11,5/14,10.45,7.18,8.7,0,1,2021
Mohammad Saifuddin (BAN),8,8,28.0,0,208,11,3/12,18.90,7.42,15.2,0,0,2021
Ghulam Ahmadi (GER),7,7,28.0,3,95,10,4/5,9.50,3.39,16.8,1,0,2021
Haris Rauf (PAK),10,8,29.3,0,260,10,2/18,26.00,8.81,17.7,0,0,2021
H Lakov (BUL),8,8,27.5,1,186,10,2/8,18.60,6.68,16.7,0,0,2021
Mahedi Hasan (BAN),11,11,35.0,0,204,10,2/12,20.40,5.82,21.0,0,0,2021
Mohammad Hasnain (PAK),7,6,22.0,0,176,10,3/51,17.60,8.00,13.2,0,0,2021
DM Nakrani (UGA),10,9,31.0,1,185,10,2/20,18.50,5.96,18.6,0,0,2021
AY Patel (NZ),5,5,20.0,0,73,10,4/16,7.30,3.65,12.0,1,0,2021
K Rabada (SA),9,9,30.0,0,271,10,3/37,27.10,9.03,18.0,0,0,2021
AU Rashid (ENG),5,5,17.0,0,115,10,4/35,11.50,6.76,10.2,1,0,2021
AD Russell (WI),13,10,28.0,0,267,10,3/43,26.70,9.53,16.8,0,0,2021
H Ssenyondo (UGA),9,8,29.5,0,163,10,4/14,16.30,5.46,17.9,1,0,2021
Aftab Kayani (ROM),6,6,17.0,0,101,9,2/6,11.22,5.94,11.3,0,0,2021
P Florin (ROM),8,8,15.5,0,114,9,3/14,12.66,7.20,10.5,0,0,2021
BC Fortuin (SA),7,7,24.0,1,135,9,3/16,15.00,5.62,16.0,0,0,2021
R Ngarava (ZIM),12,12,44.3,4,327,9,2/13,36.33,7.34,29.6,0,0,2021
SO Ngoche (KENYA),7,6,24.0,2,104,9,2/9,11.55,4.33,16.0,0,0,2021
Sajid Liaqat (GER),3,3,11.4,0,84,9,3/24,9.33,7.20,7.7,0,0,2021
Siraj Ullah Khadem (PORT),4,4,16.0,0,76,9,3/16,8.44,4.75,10.6,0,0,2021
Taranjeet Singh (ROM),8,8,26.0,1,158,9,3/27,17.55,6.07,17.3,0,0,2021
VP Thamotharam (MLT),13,12,36.1,0,263,9,2/22,29.22,7.27,24.1,0,0,2021
A Venkatesh (SWE),7,7,20.0,0,132,9,3/13,14.66,6.60,13.3,0,0,2021
LB Williams (SA),6,6,23.4,0,208,9,3/35,23.11,8.78,15.7,0,0,2021
A Zampa (AUS),9,9,34.0,0,243,9,2/20,27.00,7.14,22.6,0,0,2021
F Akankwasa (UGA),10,6,23.0,0,120,8,3/11,15.00,5.21,17.2,0,0,2021
Amjad Sher (FIN),4,4,16.0,1,81,8,3/14,10.12,5.06,12.0,0,0,2021
B Kumar (IND),20,19,64.0,4,457,27,5/4,16.92,7.14,14.2,2,1,2022
A Nathwani (Aut),13,13,47.0,0,263,23,3/14,11.43,5.59,12.2,0,0,2022
Abdullah Akbarjan (Aut),15,15,49.5,1,306,20,3/16,15.30,6.14,14.9,0,0,2022
Ehsan Khan (HKG),10,10,39.2,0,239,20,4/24,11.95,6.07,11.8,1,0,2022
JB Little (IRE),12,12,43.2,0,370,20,4/35,18.50,8.53,13.0,1,0,2022
Zaker Taqawi (SWE),9,9,28.3,2,166,20,5/17,8.30,5.82,8.5,0,2,2022
H Lakov (BUL),17,17,68.0,1,521,19,3/21,27.42,7.66,21.4,0,0,2022
Shahil Momin (Aut),11,11,41.3,1,238,19,4/19,12.52,5.73,13.1,2,0,2022
Aqib Iqbal (Aut),14,14,50.0,3,278,17,3/10,16.35,5.56,17.6,0,0,2022
YS Chahal (IND),15,14,47.3,0,372,17,3/20,21.88,7.83,16.7,0,0,2022
JJ Huo (MOZ),9,9,27.0,3,161,17,4/11,9.47,5.96,9.5,1,0,2022
HV Mandhyan (HUN),13,12,47.4,1,368,17,3/30,21.64,7.72,16.8,0,0,2022
WA Peatfield (GUE),12,12,43.0,0,235,17,4/22,13.82,5.46,15.1,1,0,2022
Taranjeet Singh (ROM),11,11,36.0,1,234,17,4/17,13.76,6.50,12.7,2,0,2022
Vraj Patel (KENYA),8,8,31.0,1,139,17,3/12,8.17,4.48,10.9,0,0,2022
V Baskaran (SGP),13,13,42.5,1,340,16,3/39,21.25,7.93,16.0,0,0,2022
Bilal Muhammad (MLT),13,13,51.0,0,383,16,4/18,23.93,7.50,19.1,1,0,2022
Haris Rauf (PAK),12,12,44.0,0,342,16,3/29,21.37,7.77,16.5,0,0,2022
OC McCoy (WI),10,10,36.0,1,335,16,6/17,20.93,9.30,13.5,0,1,2022
AR Patel (IND),14,13,38.5,1,303,16,3/15,18.93,7.80,14.5,0,0,2022
IS Sodhi (NZ),10,10,37.0,0,290,16,4/28,18.12,7.83,13.8,1,0,2022
Syazrul Idrus (MAS),6,6,18.4,1,100,16,4/17,6.25,5.35,7.0,2,0,2022
Asad Ali Rehemtulla (BUL),13,13,39.4,0,357,15,4/24,23.80,9.00,15.8,1,0,2022
LA Burns (ESP),9,9,30.0,0,169,15,5/11,11.26,5.63,12.0,0,1,2022
LM Jongwe (ZIM),16,16,42.0,0,336,15,2/16,22.40,8.00,16.8,0,0,2022
Naveed Ahmed (CZK-R),13,13,44.0,0,284,15,3/29,18.93,6.45,17.6,0,0,2022
Sikandar Raza (ZIM),16,15,48.0,1,286,15,4/8,19.06,5.95,19.2,1,0,2022
Yasir Ali (ESP),9,9,26.5,0,153,15,3/8,10.20,5.70,10.7,0,0,2022
Arshdeep Singh (IND),11,11,38.1,1,282,14,3/12,20.14,7.38,16.3,0,0,2022
LT Bichard (GUE),10,10,34.0,2,190,14,4/20,13.57,5.58,14.5,1,0,2022
PW Hasaranga (SL),9,9,33.0,0,263,14,4/33,18.78,7.96,14.1,1,0,2022
Ijaz Hussain (ROM),11,10,32.0,0,206,14,4/28,14.71,6.43,13.7,1,0,2022
J Miyagi (UGA),9,9,33.0,3,189,14,3/7,13.50,5.72,14.1,0,0,2022
LN Oluoch (KENYA),9,9,26.0,1,170,14,4/30,12.14,6.53,11.1,1,0,2022
Sahel Zadran (Aut),16,16,40.3,1,265,14,5/13,18.92,6.54,17.3,0,1,2022
Virandeep Singh (MAS),10,10,29.0,3,108,14,3/4,7.71,3.72,12.4,0,0,2022
MR Adair (IRE),12,12,40.0,0,380,13,3/16,29.23,9.50,18.4,0,0,2022
Amjad Mahboob (SGP),13,13,45.0,0,388,13,3/54,29.84,8.62,20.7,0,0,2022
TL Chatara (ZIM),10,10,39.0,0,239,13,3/14,18.38,6.12,18.0,0,0,2022
Habib Khan (EST),6,6,21.0,0,139,13,4/16,10.69,6.61,9.6,1,0,2022
Janak Prakash (SGP),13,13,46.0,0,434,13,3/35,33.38,9.43,21.2,0,0,2022
L Karlsson (SWE),9,8,24.5,1,133,13,4/20,10.23,5.35,11.4,1,0,2022
Mohammad Nawaz (3) (PAK),13,13,41.4,0,303,13,3/5,23.30,7.27,19.2,0,0,2022
SA Mohandas (HUN),13,12,42.0,0,339,13,3/26,26.07,8.07,19.3,0,0,2022
Mujeeb Ur Rahman (AFG),10,10,35.0,0,214,13,3/16,16.46,6.11,16.1,0,0,2022
Ngawang Thinley (BHU),7,7,18.3,1,121,13,4/13,9.30,6.54,8.5,1,0,2022
L Ngidi (SA),7,7,20.1,0,139,13,5/39,10.69,6.89,9.3,0,1,2022
HV Patel (IND),12,11,35.1,0,334,13,4/25,25.69,9.49,16.2,1,0,2022
Rashid Khan (AFG),13,13,49.0,0,320,13,3/22,24.61,6.53,22.6,0,0,2022
M Sarenac (SRB),9,9,23.0,0,183,13,3/18,14.07,7.95,10.6,0,0,2022
