player,matches,inn,overs,maiden,runs,wkts,bb_inn,avg,econ,sr,_4w,_5w,season
Sohail Tanvir (PAK),3,3,11.0,0,90,2,1/21,45.00,8.18,33.0,0,0,2017
DJ Willey (ENG),4,4,14.0,0,123,2,1/29,61.50,8.78,42.0,0,0,2017
MA Wood (ENG),1,1,4.0,0,36,2,2/36,18.00,9.00,12.0,0,0,2017
JJ Bumrah (IND),1,1,4.0,0,38,1,1/38,38.00,9.50,24.0,0,0,2017
MS Crane (ENG),2,2,8.0,0,62,1,1/38,62.00,7.75,48.0,0,0,2017
LA Dawson (ENG),2,2,8.0,0,55,1,1/38,55.00,6.87,48.0,0,0,2017
Gulbadin Naib (AFG),3,1,2.0,0,10,1,1/10,10.00,5.00,12.0,0,0,2017
Imran Tahir (SA),2,2,7.0,0,75,1,1/38,75.00,10.71,42.0,0,0,2017
B Kumar (IND),2,2,8.0,0,63,1,1/36,63.00,7.87,48.0,0,0,2017
SL Malinga (SL),1,1,4.0,0,31,1,1/31,31.00,7.75,24.0,0,0,2017
M Morkel (SA),2,2,8.0,0,75,1,1/32,75.00,9.37,48.0,0,0,2017
AR Nurse (WI),1,1,3.0,0,23,1,1/23,23.00,7.66,18.0,0,0,2017
R Powell (WI),7,1,3.0,0,20,1,1/20,20.00,6.66,18.0,0,0,2017
S Prasanna (SL),1,1,3.0,0,25,1,1/25,25.00,8.33,18.0,0,0,2017
Rumman Raees (PAK),1,1,4.0,1,25,1,1/25,25.00,6.25,24.0,0,0,2017
CA Soper (PNG),2,2,5.0,0,27,1,1/20,27.00,5.40,30.0,0,0,2017
Sultan Ahmed (UAE),2,2,6.0,1,38,1,1/12,38.00,6.33,36.0,0,0,2017
I Udana (SL),1,1,4.0,0,36,1,1/36,36.00,9.00,24.0,0,0,2017
Rashid Khan (AFG/ICC),6,6,22.0,0,149,17,4/12,8.76,6.77,7.7,2,0,2018
Shadab Khan (PAK),10,10,37.5,0,269,13,2/23,20.69,7.11,17.4,0,0,2018
Kuldeep Yadav (IND),4,4,14.3,1,95,12,5/24,7.91,6.55,7.2,1,1,2018
AJ Tye (AUS),6,6,23.5,1,183,12,3/12,15.25,7.67,11.9,0,0,2018
Mohammad Amir (PAK),6,6,22.0,0,153,11,3/22,13.90,6.95,12.0,0,0,2018
PKD Chase (IRE),6,6,22.0,0,194,9,4/35,21.55,8.81,14.6,1,0,2018
KOK Williams (WI),6,6,22.4,0,216,9,4/28,24.00,9.52,15.1,1,0,2018
AC Evans (SCOT),5,5,18.0,0,157,8,3/23,19.62,8.72,13.5,0,0,2018
Hasan Ali (PAK),8,8,23.0,1,196,8,2/19,24.50,8.52,17.2,0,0,2018
Mohammad Nawaz (3) (PAK),8,8,29.0,1,179,8,2/11,22.37,6.17,21.7,0,0,2018
Mustafizur Rahman (BAN),3,3,9.1,1,99,8,3/31,12.37,10.80,6.8,0,0,2018
KMA Paul (WI),7,7,24.5,0,210,8,2/24,26.25,8.45,18.6,0,0,2018
Simi Singh (IRE),8,8,24.5,0,199,8,3/23,24.87,8.01,18.6,0,0,2018
B Stanlake (AUS),6,6,22.0,1,167,8,4/8,20.87,7.59,16.5,1,0,2018
YS Chahal (IND),5,5,20.0,0,151,7,3/21,21.57,7.55,17.1,0,0,2018
GH Dockrell (IRE),8,8,29.0,0,205,7,2/15,29.28,7.06,24.8,0,0,2018
Faheem Ashraf (PAK),10,9,27.4,0,196,7,3/5,28.00,7.08,23.7,0,0,2018
Mujeeb Ur Rahman (AFG),5,5,19.0,0,91,7,3/17,13.00,4.78,16.2,0,0,2018
HH Pandya (IND),5,5,18.0,0,145,7,4/38,20.71,8.05,15.4,1,0,2018
JA Richardson (AUS),5,5,20.0,0,149,7,2/32,21.28,7.45,17.1,0,0,2018
UT Yadav (IND),4,4,14.0,0,124,7,2/19,17.71,8.85,12.0,0,0,2018
BJ McCarthy (IRE),4,4,16.0,0,157,6,3/26,26.16,9.81,16.0,0,0,2018
Mohammad Nabi (AFG),5,5,18.0,0,112,6,2/19,18.66,6.22,18.0,0,0,2018
