player,matches,inn,no,runs,hs,avg,bf,sr,_100,_50,_0,_4s,_6s,season
Rahmanullah Gurbaz (AFG),12,12,0,294,84,24.50,210,140.00,0,2,1,27,15,2022
HC Brook (ENG),10,9,3,293,81*,48.83,187,156.68,0,1,0,26,14,2022
AM Tribe (JER),8,8,1,292,73*,41.71,222,131.53,0,2,0,31,10,2022
MTMMJ Ave (COK),6,6,2,290,92*,72.50,225,128.88,0,3,0,30,10,2022
BFW de Leede (NED),7,7,3,289,91*,72.25,235,122.97,0,3,0,23,8,2022
Ibrahim Zadran (AFG),10,10,3,287,64*,41.00,252,113.88,0,1,0,24,7,2022
S Chandramohan (SGP),13,13,0,281,100,21.61,225,124.88,1,0,1,22,15,2022
NG Collins (FIN),10,10,0,280,79,28.00,279,100.35,0,1,0,22,6,2022
Omar Rassol (BUL),13,12,3,279,99*,31.00,193,144.55,0,2,1,22,18,2022
S Wickramasekara (CZK-R),15,15,3,279,63,23.25,202,138.11,0,2,3,19,17,2022
VP Thamotharam (MLT),11,11,2,274,57,30.44,162,169.13,0,3,1,15,23,2022
DJ Hooda (IND),9,8,2,272,104,45.33,172,158.13,1,0,0,26,12,2022
MWR Stokes (GUE),12,11,3,271,48,33.87,239,113.38,0,0,0,21,5,2022
LJ Tucker (IRE),12,12,0,268,78,22.33,202,132.67,0,2,1,26,10,2022
