player,matches,inn,overs,maiden,runs,wkts,bb_inn,bb_match,avg,econ,sr,_4w,_5w,season
CBRLS Kumara (SL),3,6,108.2,17,338,17,4/58,7/135,19.88,3.12,38.2,0,0,2018
BA Stokes (ENG),5,9,138.2,22,481,17,4/40,6/113,28.29,3.47,48.8,0,0,2018
R Ashwin (IND),5,9,159.2,34,419,16,4/27,7/121,26.18,2.62,59.7,0,0,2018
KA Maharaj (SA),2,4,118.1,22,390,16,9/129,12/283,24.37,3.30,44.3,1,1,2018
Mohammed Shami (IND),5,9,172.4,25,622,16,4/57,6/108,38.87,3.60,64.7,0,0,2018
KAJ Roach (WI),4,7,91.0,24,289,16,5/8,6/127,18.06,3.17,34.1,1,0,2018
HMRKB Herath (SL),3,6,130.5,29,326,15,6/98,7/130,21.73,2.49,52.3,1,0,2018
RAS Lakmal (SL),5,8,119.3,30,291,15,3/21,5/77,19.40,2.43,47.8,0,0,2018
JJ Bumrah (IND),3,6,133.2,31,363,14,5/85,7/122,25.92,2.72,57.1,1,0,2018
SM Curran (ENG),5,10,91.5,13,302,13,4/74,5/92,23.23,3.28,42.3,0,0,2018
RA Jadeja (IND),2,4,89.5,7,293,13,4/17,7/258,22.53,3.26,41.4,0,0,2018
MM Ali (ENG),2,4,76.0,9,252,12,5/63,9/134,21.00,3.31,38.0,1,0,2018
Mohammad Amir (PAK),3,5,94.3,25,221,12,4/36,5/72,18.41,2.33,47.2,0,0,2018
CR Woakes (ENG),3,6,75.0,11,240,12,3/55,4/43,20.00,3.20,37.5,0,0,2018
CAK Rajitha (SL),2,4,60.0,11,160,11,3/20,6/88,14.54,2.66,32.7,0,0,2018
Mehidy Hasan Miraz (BAN),2,3,74.0,17,239,10,5/93,7/138,23.90,3.22,44.4,1,0,2018
HH Pandya (IND),5,8,73.1,9,271,10,5/28,6/50,27.10,3.70,43.9,1,0,2018
AU Rashid (ENG),5,8,87.0,10,309,10,3/101,4/147,30.90,3.55,52.2,0,0,2018
ML Cummins (WI),5,10,103.0,27,302,9,3/11,5/27,33.55,2.93,68.6,0,0,2018
A Dananjaya (SL),2,4,76.0,18,233,9,5/52,7/119,25.88,3.06,50.6,1,0,2018
K Rabada (SA),2,4,54.0,4,191,8,4/50,7/94,23.87,3.53,40.5,0,0,2018
Shakib Al Hasan (BAN),2,3,66.0,10,164,8,6/33,6/93,20.50,2.48,49.5,1,0,2018
Abu Jayed (BAN),2,3,52.3,15,143,7,3/38,4/59,20.42,2.72,45.0,0,0,2018
Shadab Khan (PAK),3,5,86.0,14,241,7,3/31,4/94,34.42,2.80,73.7,0,0,2018
UT Yadav (IND),2,4,37.0,5,120,7,3/26,4/44,17.14,3.24,31.7,0,0,2018
RL Chase (WI),5,6,36.2,6,101,6,4/15,4/15,16.83,2.77,36.3,0,0,2018
Hasan Ali (PAK),2,3,54.4,9,191,6,4/51,4/109,31.83,3.49,54.6,0,0,2018
TJ Murtagh (IRE),1,2,41.0,8,100,6,4/45,6/100,16.66,2.43,41.0,0,0,2018
Faheem Ashraf (PAK),3,5,61.0,13,188,5,3/60,3/60,37.60,3.08,73.2,0,0,2018
D Bishoo (WI),4,7,61.0,8,167,4,3/48,4/73,41.75,2.73,91.5,0,0,2018
T Shamsi (SA),1,2,36.4,2,128,4,3/91,4/128,32.00,3.49,55.0,0,0,2018
SR Thompson (IRE),1,2,33.0,8,93,4,3/62,4/93,23.25,2.81,49.5,0,0,2018
DM Bess (ENG),2,3,31.4,1,121,3,3/33,3/33,40.33,3.82,63.3,0,0,2018
KMA Paul (WI),1,2,16.0,2,59,3,2/25,3/59,19.66,3.68,32.0,0,0,2018
WB Rankin (IRE),1,2,33.0,4,132,3,2/75,3/132,44.00,4.00,66.0,0,0,2018
Taijul Islam (BAN),1,2,32.0,4,106,3,2/82,3/106,35.33,3.31,64.0,0,0,2018
GH Vihari (IND),1,2,10.3,1,38,3,3/37,3/38,12.66,3.61,21.0,0,0,2018
Yamin Ahmadzai (AFG),1,1,19.0,7,51,3,3/51,3/51,17.00,2.68,38.0,0,0,2018
Rashid Khan (AFG),1,1,34.5,2,154,2,2/154,2/154,77.00,4.42,104.5,0,0,2018
PADLR Sandakan (SL),1,2,8.5,1,19,2,1/1,2/19,9.50,2.15,26.5,0,0,2018
DW Steyn (SA),2,4,52.4,6,179,2,1/35,2/89,89.50,3.39,158.0,0,0,2018
Wafadar Momand (AFG),1,1,21.0,5,100,2,2/100,2/100,50.00,4.76,63.0,0,0,2018
MA Wood (ENG),1,2,27.3,7,81,2,2/74,2/81,40.50,2.94,82.5,0,0,2018
SCJ Broad (ENG),6,12,202.1,37,692,30,5/86,7/79,23.06,3.42,40.4,1,0,2019
PJ Cummins (AUS),5,10,211.0,61,569,29,4/32,7/103,19.62,2.69,43.6,0,0,2019
JC Archer (ENG),4,8,156.0,34,446,22,6/45,8/85,20.27,2.85,42.5,2,0,2019
JR Hazlewood (AUS),4,8,161.2,43,437,20,5/30,9/115,21.85,2.70,48.4,1,0,2019
NM Lyon (AUS),5,10,242.3,44,668,20,6/49,9/161,33.40,2.75,72.7,1,0,2019
CR Woakes (ENG),5,10,112.4,21,382,16,6/17,6/51,23.87,3.39,42.2,1,0,2019
JJ Bumrah (IND),2,4,49.1,15,120,13,6/27,7/58,9.23,2.44,22.6,2,0,2019
MJ Leach (ENG),5,8,104.4,20,336,12,4/49,4/56,28.00,3.21,52.3,0,0,2019
Rashid Khan (AFG),1,2,41.3,9,104,11,6/49,11/104,9.45,2.50,22.6,2,1,2019
I Sharma (IND),2,4,49.4,12,135,11,5/43,8/74,12.27,2.71,27.0,1,0,2019
Mohammed Shami (IND),2,4,51.0,11,160,9,3/65,5/99,17.77,3.13,34.0,0,0,2019
AY Patel (NZ),2,4,86.0,13,242,9,5/89,6/163,26.88,2.81,57.3,1,0,2019
KAJ Roach (WI),2,4,85.0,26,200,9,4/66,5/95,22.22,2.35,56.6,0,0,2019
TA Boult (NZ),2,4,65.5,19,171,8,3/75,5/92,21.37,2.59,49.3,0,0,2019
JO Holder (WI),2,4,83.0,29,178,8,5/77,6/97,22.25,2.14,62.2,1,0,2019
BA Stokes (ENG),5,7,95.1,15,362,8,3/56,4/101,45.25,3.80,71.3,0,0,2019
MR Marsh (AUS),1,2,29.2,5,86,7,5/46,7/86,12.28,2.93,25.1,1,0,2019
PM Siddle (AUS),3,6,97.0,21,295,7,2/52,3/102,42.14,3.04,83.1,0,0,2019
WER Somerville (NZ),2,4,80.2,18,225,7,3/83,4/156,32.14,2.80,68.8,0,0,2019
TG Southee (NZ),2,4,60.0,18,128,7,4/63,6/78,18.28,2.13,51.4,0,0,2019
MR Adair (IRE),1,2,27.4,8,98,6,3/32,6/98,16.33,3.54,27.6,0,0,2019
RL Chase (WI),2,4,71.0,12,257,6,4/132,6/190,42.83,3.61,71.0,0,0,2019
SM Curran (ENG),2,3,35.0,12,96,6,3/28,3/28,16.00,2.74,35.0,0,0,2019
A Dananjaya (SL),1,2,62.0,7,164,6,5/80,6/164,27.33,2.64,62.0,1,0,2019
L Embuldeniya (SL),2,3,96.0,9,336,6,4/99,4/180,56.00,3.50,96.0,0,0,2019
RA Jadeja (IND),2,4,55.2,15,183,6,3/58,4/77,30.50,3.30,55.3,0,0,2019
TJ Murtagh (IRE),1,2,27.0,5,65,6,5/13,6/65,10.83,2.40,27.0,1,0,2019
Taijul Islam (BAN),1,2,69.0,11,202,6,4/116,6/202,33.66,2.92,69.0,0,0,2019
JL Pattinson (AUS),2,4,65.0,15,167,5,2/9,3/56,33.40,2.56,78.0,0,0,2019
Shakib Al Hasan (BAN),1,2,41.0,4,122,5,3/58,5/122,24.40,2.97,49.2,0,0,2019
MM Ali (ENG),2,3,46.2,5,186,4,2/130,3/172,46.50,4.01,69.5,0,0,2019
ST Gabriel (WI),2,4,66.0,15,226,4,3/71,4/134,56.50,3.42,99.0,0,0,2019
RAS Lakmal (SL),2,3,41.2,9,98,4,4/29,4/66,24.50,2.37,62.0,0,0,2019
Mohammad Nabi (AFG),1,2,44.0,11,95,4,3/56,4/95,23.75,2.15,66.0,0,0,2019
Nayeem Hasan (BAN),1,2,30.0,2,104,4,2/43,4/104,26.00,3.46,45.0,0,0,2019
WB Rankin (IRE),1,2,20.0,2,91,4,2/5,4/91,22.75,4.55,30.0,0,0,2019
MA Starc (AUS),1,2,38.0,9,126,4,3/80,4/126,31.50,3.31,57.0,0,0,2019
RRS Cornwall (WI),1,2,64.0,17,173,3,3/105,3/173,57.66,2.70,128.0,0,0,2019
DM de Silva (SL),2,3,23.0,4,55,3,3/25,3/45,18.33,2.39,46.0,0,0,2019
CBRLS Kumara (SL),2,3,45.0,1,183,3,2/31,2/68,61.00,4.06,90.0,0,0,2019
Mehidy Hasan Miraz (BAN),1,2,40.1,8,108,3,2/35,3/108,36.00,2.68,80.3,0,0,2019
MDK Perera (SL),1,1,37.0,4,114,3,3/114,3/114,38.00,3.08,74.0,0,0,2019
JE Root (ENG),6,4,28.0,2,122,3,2/26,2/26,40.66,4.35,56.0,0,0,2019
OP Stone (ENG),1,1,12.0,3,29,3,3/29,3/29,9.66,2.41,24.0,0,0,2019
SR Thompson (IRE),1,2,16.5,1,74,3,3/44,3/74,24.66,4.39,33.6,0,0,2019
Zahir Khan (AFG),1,2,24.0,1,105,3,3/59,3/105,35.00,4.37,48.0,0,0,2019
C de Grandhomme (NZ),1,2,21.0,4,43,2,1/8,2/43,21.50,2.04,63.0,0,0,2019
C Overton (ENG),1,2,33.5,4,107,2,2/85,2/107,53.50,3.16,101.5,0,0,2019
KC Brathwaite (WI),2,2,9.0,0,32,1,1/8,1/8,32.00,3.55,54.0,0,0,2019
M Labuschagne (AUS),4,4,18.0,2,56,1,1/9,1/9,56.00,3.11,108.0,0,0,2019
SCJ Broad (ENG),5,9,154.1,48,389,29,6/31,10/67,13.41,2.52,31.8,1,1,2020
CR Woakes (ENG),5,9,133.0,29,348,17,5/50,6/107,20.47,2.61,46.9,1,0,2020
JM Anderson (ENG),5,9,161.0,42,408,16,5/56,7/101,25.50,2.53,60.3,1,0,2020
ST Gabriel (WI),3,6,98.1,14,355,11,5/75,9/137,32.27,3.61,53.5,1,0,2020
BA Stokes (ENG),4,5,56.0,14,158,11,4/49,6/88,14.36,2.82,30.5,0,0,2020
Yasir Shah (PAK),3,4,98.0,9,368,11,4/66,8/165,33.45,3.75,53.4,0,0,2020
RL Chase (WI),3,4,94.0,14,340,10,5/172,5/172,34.00,3.61,56.4,1,0,2020
JO Holder (WI),3,6,111.5,31,301,10,6/42,7/91,30.10,2.69,67.1,1,0,2020
JC Archer (ENG),4,8,125.4,23,360,8,3/45,4/86,45.00,2.86,94.2,0,0,2020
DM Bess (ENG),6,8,136.1,25,444,8,2/51,3/126,55.50,3.26,102.1,0,0,2020
KAJ Roach (WI),3,6,116.4,31,292,8,4/72,4/95,36.50,2.50,87.5,0,0,2020
Mohammad Abbas (PAK),3,4,78.0,23,179,5,2/28,3/69,35.80,2.29,93.6,0,0,2020
Shaheen Shah Afridi (PAK),3,4,76.5,13,258,5,2/121,2/112,51.60,3.35,92.2,0,0,2020
SM Curran (ENG),2,3,46.0,10,144,4,2/70,3/100,36.00,3.13,69.0,0,0,2020
AS Joseph (WI),2,4,56.1,11,182,3,2/45,2/98,60.66,3.24,112.3,0,0,2020
Naseem Shah (PAK),3,4,61.0,14,208,3,1/44,2/89,69.33,3.40,122.0,0,0,2020
Fawad Alam (PAK),2,1,12.0,0,46,2,2/46,2/46,23.00,3.83,36.0,0,0,2020
Shadab Khan (PAK),1,2,11.3,0,47,2,2/13,2/47,23.50,4.08,34.5,0,0,2020
MA Wood (ENG),1,2,34.0,2,110,2,1/36,2/110,55.00,3.23,102.0,0,0,2020
Asad Shafiq (PAK),3,1,7.0,0,24,1,1/24,1/24,24.00,3.42,42.0,0,0,2020
JE Root (ENG),5,4,14.2,2,42,1,1/17,1/17,42.00,2.93,86.0,0,0,2020
Azhar Ali (PAK),3,1,0.1,0,0,0,,,,,,,,
KC Brathwaite (WI),3,2,6.5,0,18,0,,,,,,,,
RRS Cornwall (WI),1,2,46.0,7,164,0,,,,,,,,
Shan Masood (PAK),3,2,6.0,1,25,0,,,,,,,,
DP Sibley (ENG),6,1,1.0,0,7,0,,,,,,,,
Abid Ali (PAK),3,3,,,,,,,,,,,,
Babar Azam (PAK),3,3,,,,,,,,,,,,
J Blackwood (WI),3,3,,,,,,,,,,,,
SSJ Brooks (WI),3,3,,,,,,,,,,,,
RJ Burns (ENG),6,6,,,,,,,,,,,,
JC Buttler (ENG),6,6,,,,,,,,,,,,
JD Campbell (WI),3,3,,,,,,,,,,,,
Z Crawley (ENG),4,4,,,,,,,,,,,,
JL Denly (ENG),1,1,,,,,,,,,,,,
SO Dowrich (WI),3,3,,,,,,,,,,,,
SD Hope (WI),3,3,,,,,,,,,,,,
Mohammad Rizwan (PAK),3,3,,,,,,,,,,,,
OJ Pope (ENG),6,6,,,,,,,,,,,,
OE Robinson (ENG),5,10,208.2,58,549,28,5/65,7/81,19.60,2.63,44.6,2,0,2021
Shaheen Shah Afridi (PAK),4,8,133.4,37,367,28,6/51,10/94,13.10,2.74,28.6,2,1,2021
Hasan Ali (PAK),4,8,108.1,31,283,20,5/27,9/89,14.15,2.61,32.4,2,0,2021
JM Anderson (ENG),6,12,241.0,71,576,18,5/62,5/115,32.00,2.39,80.3,1,0,2021
JJ Bumrah (IND),5,9,187.4,51,467,18,5/64,9/110,25.94,2.48,62.5,1,0,2021
KAJ Roach (WI),4,7,119.4,32,317,17,4/52,7/97,18.64,2.64,42.2,0,0,2021
JNT Seales (WI),4,7,100.4,23,341,16,5/55,8/125,21.31,3.38,37.7,1,0,2021
Mohammed Shami (IND),4,7,133.4,30,410,15,4/76,4/95,27.33,3.06,53.4,0,0,2021
JO Holder (WI),4,7,115.2,29,281,14,4/75,4/62,20.07,2.43,49.4,0,0,2021
Mohammed Siraj (IND),4,7,126.5,22,430,14,4/32,8/126,30.71,3.39,54.3,0,0,2021
Mehidy Hasan Miraz (BAN),3,5,169.4,31,493,13,5/82,9/148,37.92,2.90,78.3,1,0,2021
Taskin Ahmed (BAN),3,5,116.2,27,393,13,4/82,5/128,30.23,3.37,53.6,0,0,2021
TG Southee (NZ),2,4,83.1,19,192,12,6/43,7/80,16.00,2.30,41.5,1,0,2021
TA Boult (NZ),2,4,75.2,14,205,11,4/85,6/119,18.63,2.72,41.0,0,0,2021
P Jayawickrama (SL),1,2,64.0,17,178,11,6/92,11/178,16.18,2.78,34.9,2,1,2021
B Muzarabani (ZIM),3,4,101.0,22,276,11,4/73,4/73,25.09,2.73,55.0,0,0,2021
Noman Ali (PAK),3,6,70.0,16,198,11,5/86,5/89,18.00,2.82,38.1,1,0,2021
K Rabada (SA),2,4,59.0,20,126,11,5/34,6/58,11.45,2.13,32.1,1,0,2021
MA Wood (ENG),3,6,102.0,17,347,11,3/51,5/142,31.54,3.40,55.6,0,0,2021
KA Jamieson (NZ),2,4,87.0,36,174,10,5/31,7/61,17.40,2.00,52.2,1,0,2021
N Wagner (NZ),3,6,101.0,24,280,10,3/18,4/86,28.00,2.77,60.6,0,0,2021
KA Maharaj (SA),2,4,50.3,17,112,9,5/36,7/83,12.44,2.21,33.6,1,0,2021
KR Mayers (WI),4,7,85.0,25,218,9,3/24,6/52,24.22,2.56,56.6,0,0,2021
L Ngidi (SA),2,4,43.5,12,106,8,5/19,5/50,13.25,2.41,32.8,1,0,2021
A Nortje (SA),2,4,48.0,11,157,8,4/35,7/81,19.62,3.27,36.0,0,0,2021
C Overton (ENG),2,4,62.3,16,168,8,3/14,6/61,21.00,2.68,46.8,0,0,2021
I Sharma (IND),3,5,87.2,18,243,8,3/48,5/82,30.37,2.78,65.5,0,0,2021
Taijul Islam (BAN),2,3,102.2,18,318,8,5/72,6/155,39.75,3.10,76.7,1,0,2021
SCJ Broad (ENG),3,6,91.1,19,262,7,4/48,5/61,37.42,2.87,78.1,0,0,2021
RA Jadeja (IND),5,9,138.2,30,317,7,2/36,4/86,45.28,2.29,118.5,0,0,2021
SN Thakur (IND),2,4,49.0,7,154,7,2/22,4/78,22.00,3.14,42.0,0,0,2021
CR Woakes (ENG),1,2,47.0,14,138,7,4/55,7/138,19.71,2.93,40.2,0,0,2021
MM Ali (ENG),3,5,86.0,3,299,6,2/84,3/137,49.83,3.47,86.0,0,0,2021
MJ Henry (NZ),1,2,38.0,9,114,6,3/36,6/114,19.00,3.00,38.0,0,0,2021
RTM Mendis (SL),1,2,59.0,9,189,6,4/103,6/189,31.50,3.20,59.0,0,0,2021
Mohammad Abbas (PAK),2,4,66.0,23,156,6,3/43,3/70,26.00,2.36,66.0,0,0,2021
DT Tiripano (ZIM),3,4,79.0,18,263,6,3/89,3/89,43.83,3.32,79.0,0,0,2021
UT Yadav (IND),1,2,37.2,4,136,6,3/60,6/136,22.66,3.64,37.3,0,0,2021
Faheem Ashraf (PAK),3,6,59.0,21,152,5,2/29,3/66,30.40,2.57,70.8,0,0,2021
RAS Lakmal (SL),2,4,58.0,18,146,5,2/21,3/102,29.20,2.51,69.6,0,0,2021
R Ngarava (ZIM),3,4,85.0,14,281,5,2/104,2/104,56.20,3.30,102.0,0,0,2021
Shakib Al Hasan (BAN),1,2,59.5,19,126,5,4/82,5/126,25.20,2.10,71.8,0,0,2021
R Ashwin (IND),1,2,25.0,10,45,4,2/17,4/45,11.25,1.80,37.5,0,0,2021
MVT Fernando (SL),2,3,47.0,12,133,4,4/96,4/114,33.25,2.82,70.5,0,0,2021
AY Patel (NZ),1,2,23.0,8,59,4,2/25,4/59,14.75,2.56,34.5,0,0,2021
TS Chisoro (ZIM),2,2,74.1,14,220,3,2/131,2/131,73.33,2.96,148.3,0,0,2021
SM Curran (ENG),3,5,74.0,10,238,3,2/27,2/67,79.33,3.21,148.0,0,0,2021
PWA Mulder (SA),2,4,16.0,4,42,3,3/1,3/15,14.00,2.62,32.0,0,0,2021
OP Stone (ENG),1,2,25.0,5,97,3,2/92,3/97,32.33,3.88,50.0,0,0,2021
KC Brathwaite (WI),4,5,16.0,2,55,2,1/10,1/24,27.50,3.43,48.0,0,0,2021
SCJ Broad (ENG),7,13,234.3,46,788,29,4/41,7/86,27.17,3.36,48.5,0,0,2022
NGRP Jayasuriya (SL),3,6,216.2,40,591,29,6/59,12/177,20.37,2.73,44.7,4,1,2022
JM Anderson (ENG),6,11,184.5,49,477,27,5/60,6/62,17.66,2.58,41.0,1,0,2022
RTM Mendis (SL),6,11,247.5,30,746,20,5/47,9/148,37.30,3.01,74.3,1,0,2022
MJ Potts (ENG),5,9,182.5,41,560,20,4/13,7/68,28.00,3.06,54.8,0,0,2022
BA Stokes (ENG),7,11,130.3,14,462,18,4/33,5/80,25.66,3.54,43.5,0,0,2022
TA Boult (NZ),3,6,121.2,22,463,16,5/106,8/200,28.93,3.81,45.5,1,0,2022
AM Fernando (SL),4,6,104.2,16,335,16,6/51,10/144,20.93,3.21,39.1,1,1,2022
MJ Leach (ENG),7,10,196.1,50,580,16,5/66,10/166,36.25,2.95,73.5,2,1,2022
K Rabada (SA),3,5,74.0,9,327,14,5/52,7/79,23.35,4.41,31.7,1,0,2022
CAK Rajitha (SL),4,7,114.3,27,310,14,5/64,7/104,22.14,2.70,49.0,1,0,2022
AS Joseph (WI),2,4,56.5,11,195,12,3/33,6/88,16.25,3.43,28.4,0,0,2022
OE Robinson (ENG),2,4,58.1,11,180,12,5/49,7/89,15.00,3.09,29.0,1,0,2022
NM Lyon (AUS),2,3,100.0,8,315,11,5/90,9/121,28.63,3.15,54.5,1,0,2022
Mohammad Nawaz (3) (PAK),2,4,74.0,11,261,10,5/88,6/106,26.10,3.52,44.4,1,0,2022
A Nortje (SA),3,5,53.0,4,248,10,3/47,6/110,24.80,4.67,31.8,0,0,2022
KAJ Roach (WI),2,4,60.5,16,185,10,5/53,7/74,18.50,3.04,36.5,1,0,2022
Shakib Al Hasan (BAN),4,7,146.1,38,318,10,5/96,5/103,31.80,2.17,87.7,1,0,2022
Khaled Ahmed (BAN),4,7,108.3,13,384,10,5/106,5/86,38.40,3.53,65.1,1,0,2022
M Jansen (SA),2,4,31.3,3,118,9,5/35,5/75,13.11,3.74,21.0,1,0,2022
JNT Seales (WI),2,4,46.2,9,152,9,3/21,6/74,16.88,3.28,30.8,0,0,2022
TG Southee (NZ),3,6,122.5,16,531,9,4/55,4/142,59.00,4.32,81.8,0,0,2022
Yasir Shah (PAK),2,4,93.0,10,351,9,3/83,5/188,39.00,3.77,62.0,0,0,2022
MJ Swepson (AUS),2,3,58.0,2,192,8,3/55,5/89,24.00,3.31,43.5,0,0,2022
Mehidy Hasan Miraz (BAN),2,3,64.5,16,160,7,4/59,4/69,22.85,2.46,55.5,0,0,2022
Naseem Shah (PAK),2,4,50.5,4,179,7,3/58,5/102,25.57,3.52,43.5,0,0,2022
Ebadot Hossain (BAN),3,6,91.5,18,313,6,4/148,4/153,52.16,3.40,91.8,0,0,2022
KA Jamieson (NZ),2,3,48.3,10,165,6,4/79,6/99,27.50,3.40,48.5,0,0,2022
KR Mayers (WI),2,4,31.0,6,96,6,2/10,4/40,16.00,3.09,31.0,0,0,2022
Nayeem Hasan (BAN),1,2,53.0,9,184,6,6/105,6/184,30.66,3.47,53.0,1,0,2022
MG Bracewell (NZ),2,4,47.4,2,285,5,3/62,3/122,57.00,5.97,57.2,0,0,2022
JJ Bumrah (IND),1,2,36.0,4,142,5,3/68,5/142,28.40,3.94,43.2,0,0,2022
MA Starc (AUS),2,3,40.0,3,143,5,4/89,4/89,28.60,3.57,48.0,0,0,2022
Taijul Islam (BAN),2,4,132.0,31,329,5,4/82,5/189,65.80,2.49,158.4,0,0,2022
M Theekshana (SL),2,4,60.5,10,188,5,2/28,3/76,37.60,3.09,73.0,0,0,2022
DM de Silva (SL),5,8,55.0,3,147,4,1/8,1/8,36.75,2.67,82.5,0,0,2022
TM Head (AUS),2,2,10.5,0,37,4,4/10,4/10,9.25,3.41,16.2,0,0,2022
KA Maharaj (SA),3,2,34.4,4,113,4,2/35,2/35,28.25,3.25,52.0,0,0,2022
Mohammed Siraj (IND),1,2,26.3,2,164,4,4/66,4/164,41.00,6.18,39.7,0,0,2022
Shaheen Shah Afridi (PAK),1,2,21.1,5,79,4,4/58,4/79,19.75,3.73,31.7,0,0,2022
Hasan Ali (PAK),2,4,51.0,8,145,3,2/23,3/42,48.33,2.84,102.0,0,0,2022
PJ Cummins (AUS),2,2,42.0,9,120,2,1/25,1/25,60.00,2.85,126.0,0,0,2022
MJ Henry (NZ),1,2,42.0,8,195,2,1/67,2/195,97.50,4.64,126.0,0,0,2022
Mohammed Shami (IND),1,2,37.0,6,142,2,2/78,2/142,71.00,3.83,111.0,0,0,2022
L Ngidi (SA),2,3,30.0,6,88,2,1/15,1/27,44.00,2.93,90.0,0,0,2022
Noman Ali (PAK),1,2,35.0,2,118,2,1/54,2/118,59.00,3.37,105.0,0,0,2022
J Overton (ENG),1,2,37.0,4,146,2,1/61,2/146,73.00,3.94,111.0,0,0,2022
A Phillip (WI),1,2,14.0,2,53,2,2/30,2/53,26.50,3.78,42.0,0,0,2022
JE Root (ENG),7,7,32.0,3,133,2,1/23,1/40,66.50,4.15,96.0,0,0,2022
Shoriful Islam (BAN),2,2,39.0,9,131,2,2/76,2/76,65.50,3.35,117.0,0,0,2022
