player,matches,inn,overs,maiden,runs,wkts,bb_inn,bb_match,avg,econ,sr,_4w,_5w,season
CJ Jordan (ENG),5,10,151.0,42,496,15,4/18,7/50,33.06,3.28,60.4,0,0,2014
M Morkel (SA),3,6,102.0,33,246,15,4/29,7/78,16.40,2.41,40.8,0,0,2014
I Sharma (IND),3,4,115.0,22,381,14,7/74,7/135,27.21,3.31,49.2,1,0,2014
MD Craig (NZ),3,6,117.0,18,490,12,4/91,8/188,40.83,4.18,58.5,0,0,2014
RMS Eranga (SL),4,7,158.4,52,511,12,4/93,6/226,42.58,3.22,79.3,0,0,2014
KTGD Prasad (SL),3,6,98.0,18,298,11,5/50,6/125,27.09,3.04,53.4,1,0,2014
TG Southee (NZ),3,6,96.2,33,232,11,4/19,6/51,21.09,2.40,52.5,0,0,2014
TA Boult (NZ),3,6,101.2,18,317,9,3/48,5/119,35.22,3.12,67.5,0,0,2014
ST Gabriel (WI),3,6,91.2,19,257,9,2/25,4/109,28.55,2.81,60.8,0,0,2014
RA Jadeja (IND),4,6,156.0,25,420,9,3/52,5/205,46.66,2.69,104.0,0,0,2014
Junaid Khan (PAK),2,3,68.0,15,246,9,5/87,5/87,27.33,3.61,45.3,1,0,2014
Saeed Ajmal (PAK),2,4,144.1,23,361,9,5/166,5/195,40.11,2.50,96.1,1,0,2014
DL Piedt (SA),1,2,49.0,4,152,8,4/62,8/152,19.00,3.10,36.7,0,0,2014
IS Sodhi (NZ),2,4,48.1,4,228,8,4/96,4/111,28.50,4.73,36.1,0,0,2014
Taijul Islam (BAN),2,4,98.0,18,309,8,5/135,5/139,38.62,3.15,73.5,1,0,2014
BA Stokes (ENG),2,4,87.5,16,232,7,3/51,5/91,33.14,2.64,75.2,0,0,2014
N Pradeep (SL),2,4,77.0,10,305,6,4/123,4/160,50.83,3.96,77.0,0,0,2014
Wahab Riaz (PAK),1,2,45.0,6,164,6,3/76,6/164,27.33,3.64,45.0,0,0,2014
VR Aaron (IND),2,2,55.0,5,250,5,3/97,3/97,50.00,4.54,66.0,0,0,2014
JP Duminy (SA),3,6,55.0,10,205,5,2/38,3/85,41.00,3.72,66.0,0,0,2014
AD Mathews (SL),6,6,72.0,18,181,5,4/44,4/60,36.20,2.51,86.4,0,0,2014
Mohammed Shami (IND),3,5,96.0,15,366,5,2/128,2/91,73.20,3.81,115.2,0,0,2014
J Nyumbu (ZIM),1,2,53.3,7,181,5,5/157,5/181,36.20,3.38,64.2,1,0,2014
S Shillingford (WI),2,4,90.3,9,318,5,3/145,5/184,63.60,3.51,108.6,0,0,2014
N Wagner (NZ),1,2,43.0,10,114,5,4/64,5/114,22.80,2.65,51.6,0,0,2014
CR Woakes (ENG),3,6,71.0,21,217,5,3/30,4/54,43.40,3.05,85.2,0,0,2014
Abdur Rehman (PAK),2,3,93.3,9,273,4,2/97,3/150,68.25,2.91,140.2,0,0,2014
Imran Tahir (SA),2,4,96.0,12,336,4,2/76,3/197,84.00,3.50,144.0,0,0,2014
RAS Lakmal (SL),2,4,69.0,20,175,4,3/75,3/110,43.75,2.53,103.5,0,0,2014
Al-Amin Hossain (BAN),2,4,58.4,18,150,3,3/80,3/98,50.00,2.55,117.3,0,0,2014
R Ashwin (IND),2,2,35.3,3,101,3,3/72,3/72,33.66,2.84,71.0,0,0,2014
Mahmudullah (BAN),2,3,51.0,4,177,3,2/64,3/113,59.00,3.47,102.0,0,0,2014
