,player,matches,runs,hs,batting_avg,_100,wkts,bb_inn,bowling_avg,_5w,catches_taken,stumping_made,avg_diff,season
368,A Vala (PNG),3,73,34*,36.50,0,3,2/7,6.66,0,2,0,29.83,2015
369,N Vanua (PNG),3,50,28*,-,,,,,,,,,
370,JNT Vare (PNG),3,18,13,9.00,0,,,,,,,,
371,CD Wallace (SCOT),3,26,26*,-,,,,,,,,,
372,RI Ahmed (NED),2,38,25,19.00,0,,,,,,,,
373,Amjad Javed (UAE),2,23,14,11.50,0,1,1/37,61.00,0,0,0,-49.49,2015
374,HM Amla (SA),2,62,48,31.00,0,,,,,,,,
375,F Behardien (SA),2,40,36,40.00,0,1,1/4,4.00,0,0,0,36.00,2015
376,Bilawal Bhatti (PAK),2,13,13*,-,,,,,,,,,
377,SW Billings (ENG),2,23,21,11.50,0,,,,,,,,
378,STR Binny (IND),2,35,24,17.50,0,1,1/14,22.00,0,0,0,-4.49,2015
379,Q de Kock (SA),2,56,44,28.00,0,,,,,,,,
380,DM de Silva (SL),2,45,31,22.50,0,,,,,,,,
381,TM Dilshan (SL),2,16,10,8.00,0,,,,,,,,
382,JP Duminy (SA),2,24,18,12.00,0,2,2/11,18.50,0,1,0,-6.49,2015
383,F du Plessis (SA),2,95,79*,95.00,0,,,,,,,,
384,B Fernando (SL),2,8,8*,-,,,,,,,,,
385,ST Finn (ENG),2,,,,,,,,,,,,
386,AM Guruge (UAE),2,1,1,1.00,0,1,1/18,46.00,0,0,0,-44.99,2015
387,AD Hales (ENG),2,30,27,15.00,0,,,,,,,,
388,KM Jadhav (IND),2,14,9,7.00,0,,,,,,,,
389,CK Kapugedera (SL),2,79,48*,-,,,,,,,,,
390,A Karn (NEP),2,4,4,4.00,0,1,1/31,49.00,0,0,0,-44.99,2015
391,B Kumar (IND),2,9,9,9.00,0,2,2/26,24.00,0,0,0,-14.99,2015
392,TWM Latham (NZ),2,15,12,7.50,0,,,,,,,,
393,E Leie (SA),2,,,,,,,,,,,,
394,Litton Das (BAN),2,32,22,16.00,0,,,,,,,,
395,AR McBrine (IRE),2,,,,,,,,,,,,
396,SL Malinga (SL),2,,,,,,,,,,,,
397,AK Mandal (NEP),2,11,9,5.50,0,,,,,,,,
398,Mohammad Irfan (PAK),2,1,1*,-,,,,,,,,,
399,Mohammad Sami (PAK),2,,,,,,,,,,,,
400,EJG Morgan (ENG),2,78,74,39.00,0,,,,,,,,
401,JDS Neesham (NZ),2,28,28,28.00,0,2,1/21,21.50,0,1,0,6.50,2015
402,NJ O'Brien (IRE),2,12,9,6.00,0,,,,,,,,
403,K Pala (PNG),2,41,22*,41.00,0,,,,,,,,
404,MK Pandey (IND),2,19,19,9.50,0,,,,,,,,
405,WD Parnell (SA),2,,,,,,,,,,,,
406,AR Patel (IND),2,13,13,13.00,0,4,3/17,10.00,0,2,0,3.00,2015
407,MDKJ Perera (SL),2,23,19,11.50,0,,,,,,,,
408,NLTC Perera (SL),2,3,2,1.50,0,3,2/30,19.00,0,0,0,-17.49,2015
409,AM Rahane (IND),2,37,33,18.50,0,,,,,,,,
410,AU Rashid (ENG),2,7,7*,-,,,,,,,,,
411,JB Reva (PNG),2,2,2,2.00,0,3,2/11,12.33,0,0,0,-10.33,2015
412,JJ Roy (ENG),2,34,23,17.00,0,,,,,,,,
413,Sandeep Sharma (IND),2,1,1*,-,,,,,,,,,
414,Sarfaraz Ahmed (PAK),2,3,3*,-,,,,,,,,,
415,MM Sharma (IND),2,3,3*,-,,,,,,,,,
416,V Sibanda (ZIM),2,62,49,31.00,0,,,,,,,,
417,TAM Siriwardana (SL),2,58,35,29.00,0,1,1/17,17.00,0,0,0,12.00,2015
418,IS Sodhi (NZ),2,,,,,,,,,,,,
419,MC Sorensen (IRE),2,23,23*,-,,,,,,,,,
420,BA Stokes (ENG),2,25,24*,-,,,,,,,,,
421,RV Uthappa (IND),2,81,42,81.00,0,,,,,,,,
422,JDF Vandersay (SL),2,,,,,,,,,,,,
423,MB van Schelven (NED),2,,,,,,,,,,,,
424,MN van Wyk (SA),2,22,19,11.00,0,,,,,,,,
425,M Vijay (IND),2,47,34,23.50,0,0,,,,,,,
426,TP Visee (NED),2,9,5,4.50,0,,,,,,,,
427,BV Vitori (ZIM),2,,,,,,,,,,,,
428,Wahab Riaz (PAK),2,,,,,,,,,,,,
429,DJ Willey (ENG),2,6,6,6.00,0,5,3/22,11.20,0,1,0,-5.19,2015
430,GH Worker (NZ),2,90,62,45.00,0,1,1/19,19.00,0,1,0,26.00,2015
431,Aamir Kaleem (OMA),1,10,10,10.00,0,,,,,,,,
432,Aftab Alam (AFG),1,,,,,,,,,,,,
433,JJ Bumrah (IND),5,,,,,,,,,,,,
434,MS Dhoni (IND),5,71,43,35.50,0,,,,,,,,
435,KL Rahul (IND),5,179,110*,89.50,1,,,,,,,,
436,YS Chahal (IND),3,,,,,,,,,,,,
437,LD Chandimal (SL),3,85,58,28.33,0,,,,,,,,
438,CJ Chibhabha (ZIM),3,35,20,11.66,0,2,2/13,27.50,0,0,0,-15.83,2016
439,E Chigumbura (ZIM),3,78,54*,39.00,0,,,,,,,,
440,AG Cremer (ZIM),3,8,4,4.00,0,1,1/32,91.00,0,0,0,-86.99,2016
441,KM Jadhav (IND),3,77,58,38.50,0,,,,,,,,
442,N Madziva (ZIM),3,6,5*,6.00,0,2,1/32,42.50,0,0,0,-36.49,2016
443,Mandeep Singh (IND),3,87,52*,43.50,0,,,,,,,,
444,H Masakadza (ZIM),3,50,25,16.66,0,,,,,,,,
445,BKG Mendis (SL),3,48,22,16.00,0,,,,,,,,
446,MK Pandey (IND),3,48,48,24.00,0,,,,,,,,
447,AR Patel (IND),3,38,20*,38.00,0,2,1/18,29.50,0,2,0,8.50,2016
448,MDKJ Perera (SL),3,39,22,13.00,0,,,,,,,,
449,AT Rayudu (IND),3,39,20,19.50,0,,,,,,,,
450,DT Tiripano (ZIM),3,11,11*,-,,,,,,,,,
451,MN Waller (ZIM),3,54,30,18.00,0,,,,,,,,
452,R Ashwin (IND),2,,,,,,,,,,,,
453,S Badree (WI),2,1,1,1.00,0,0,,,,,,,
454,CR Brathwaite (WI),2,32,18,16.00,0,0,,,,,,,
455,DJ Bravo (WI),2,4,3,4.00,0,2,2/37,18.50,0,1,0,-14.49,2016
456,JC Buttler (ENG),2,89,73*,89.00,0,,,,,,,,
457,J Charles (WI),2,122,79,61.00,0,,,,,,,,
458,DM de Silva (SL),2,74,62,37.00,0,0,,,,,,,
459,TM Dilshan (SL),2,5,4,2.50,0,2,2/8,4.00,0,0,0,-1.49,2016
460,JP Faulkner (AUS),2,1,1,1.00,0,4,3/19,14.25,0,2,0,-13.24,2016
461,ADS Fletcher (WI),2,3,3,3.00,0,,,,,,,,
462,TM Head (AUS),2,54,45,54.00,0,,,,,,,,
463,MC Henriques (AUS),2,1,1,1.00,0,1,1/24,45.00,0,1,0,-43.99,2016
464,RA Jadeja (IND),2,,,,,,,,,,,,
465,CJ Jordan (ENG),2,,,,,,,,,,,,
466,CK Kapugedera (SL),2,50,43,25.00,0,,,,,,,,
467,UT Khawaja (AUS),2,42,36,21.00,0,,,,,,,,
468,V Kohli (IND),2,16,16,16.00,0,,,,,,,,
469,DS Kulkarni (IND),2,1,1*,-,,,,,,,,,
470,B Kumar (IND),2,,,,,,,,,,,,
471,RAS Lakmal (SL),2,1,1,1.00,0,0,,,,,,,
472,E Lewis (WI),2,107,100,53.50,1,,,,,,,,
473,GJ Maxwell (AUS),2,211,145*,211.00,1,0,,,,,,,
474,Mohammed Shami (IND),2,,,,,,,,,,,,
475,PJ Moor (ZIM),2,57,31,28.50,0,,,,,,,,
476,EJG Morgan (ENG),2,61,47*,61.00,0,,,,,,,,
477,CT Mutombodzi (ZIM),2,3,3,1.50,0,,,,,,,,
478,T Muzarabani (ZIM),2,0,0*,-,,,,,,,,,
479,SP Narine (WI),2,9,9*,-,,,,,,,,,
480,PM Nevill (AUS),2,3,3*,-,,,,,,,,,
481,SS Pathirana (SL),2,8,6,4.00,0,3,2/23,22.66,0,0,0,-18.66,2016
482,NLTC Perera (SL),2,7,7,3.50,0,1,1/58,77.00,0,2,0,-73.49,2016
483,LE Plunkett (ENG),2,0,0*,-,,,,,,,,,
484,KA Pollard (WI),2,35,22,17.50,0,1,1/30,30.00,0,0,0,-12.49,2016
485,S Prasanna (SL),2,8,7,4.00,0,1,1/16,47.00,0,0,0,-42.99,2016
486,AM Rahane (IND),2,11,7,11.00,0,,,,,,,,
487,AU Rashid (ENG),2,,,,,,,,,,,,
488,JJ Roy (ENG),2,21,21,10.50,0,,,,,,,,
489,AD Russell (WI),2,35,22,17.50,0,1,1/53,60.00,0,0,0,-42.49,2016
490,MN Samuels (WI),2,6,5,6.00,0,,,,,,,,
491,SMSM Senanayake (SL),2,13,7*,-,,,,,,,,,
492,RG Sharma (IND),2,72,62,72.00,0,,,,,,,,
493,Sikandar Raza (ZIM),2,21,20,10.50,0,0,,,,,,,
494,LMP Simmons (WI),2,19,19,9.50,0,,,,,,,,
495,BB Sran (IND),2,,,,,,,,,,,,
496,MA Starc (AUS),2,,,,,,,,,,,,
497,DA Warner (AUS),2,53,28,26.50,0,,,,,,,,
498,A Zampa (AUS),2,,,,,,,,,,,,
499,Aizaz Khan (HKG),1,5,5,5.00,0,3,3/10,3.33,0,0,0,1.66,2016
500,MM Ali (ENG),1,13,13*,-,,,,,,,,,
501,Anshuman Rath (HKG),1,6,6,6.00,0,,,,,,,,
502,Babar Azam (PAK),1,15,15*,-,,,,,,,,,
503,Babar Hayat (HKG),1,49,49,49.00,0,,,,,,,,
504,GJ Bailey (AUS),1,,,,,,,,,,,,
505,JM Bairstow (ENG),1,,,,,,,,,,,,
506,KMC Bandara (SL),1,2,2*,-,,,,,,,,,
507,SW Billings (ENG),1,,,,,,,,,,,,
508,STR Binny (IND),1,,,,,,,,,,,,
509,SM Boland (AUS),1,,,,,,,,,,,,
510,C Carter (HKG),1,,,,,,,,,,,,
511,TL Chatara (ZIM),1,,,,,,,,,,,,
512,LA Dawson (ENG),1,,,,,,,,,,,,
513,R Dhawan (IND),1,1,1*,-,,,,,,,,,
514,Ehsan Khan (HKG),1,29,29*,-,,,,,,,,,
515,Ehsan Nawaz (HKG),1,,,,,,,,,,,,
516,N Pradeep (SL),1,0,0,0.00,0,0,,,,,,,
517,MD Gunathilaka (SL),1,26,26,26.00,0,0,,,,,,,
518,AD Hales (ENG),1,37,37,37.00,0,,,,,,,,
519,Hasan Ali (PAK),1,,,,,,,,,,,,
520,JW Hastings (AUS),1,,,,,,,,,,,,
521,Imad Wasim (PAK),1,,,,,,,,,,,,
522,Khalid Latif (PAK),1,59,59*,-,,,,,,,,,
523,JB Little (IRE),1,0,0,0.00,0,0,,,,,,,
524,AR McBrine (IRE),1,10,10,10.00,0,1,1/22,22.00,0,0,0,-11.99,2016
525,MF Maharoof (SL),1,10,10,10.00,0,0,,,,,,,
526,T Maruma (ZIM),1,23,23*,-,,,,,,,,,
527,AD Mathews (SL),1,11,11,11.00,0,2,2/27,13.50,0,0,0,-2.49,2016
528,TS Mills (ENG),1,,,,,,,,,,,,
529,A Mishra (IND),1,,,,,,,,,,,,
530,Mohammad Amir (PAK),1,,,,,,,,,,,,
531,Mohammad Rizwan (PAK),1,,,,,,,,,,,,
532,J Mulder (IRE),1,1,1,1.00,0,1,1/25,25.00,0,0,0,-23.99,2016
533,R Mutumbami (ZIM),1,0,0*,-,,,,,,,,,
534,Nadeem Ahmed (HKG),1,,,,,,,,,,,,
535,Nizakat Khan (HKG),1,62,62,62.00,0,,,,,,,,
536,KJ O'Brien (IRE),1,32,32,32.00,0,1,1/39,39.00,0,0,0,-6.99,2016
537,WTS Porterfield (IRE),1,4,4,4.00,0,,,,,,,,
538,CAK Rajitha (SL),1,0,0*,-,,,,,,,,,
539,RLB Rambukwella (SL),1,19,19,19.00,0,0,,,,,,,
540,DA Rankin (IRE),1,15,15,15.00,0,,,,,,,,
541,JE Root (ENG),1,6,6,6.00,0,0,,,,,,,
542,Sarfaraz Ahmed (PAK),1,,,,,,,,,,,,
543,Shahid Wasif (HKG),1,2,2*,-,,,,,,,,,
544,MD Shanaka (SL),1,1,1,1.00,0,,,,,,,,
545,JNK Shannon (IRE),1,0,0,0.00,0,,,,,,,,
546,Sharjeel Khan (PAK),1,59,59,59.00,0,,,,,,,,
547,Shoaib Malik (PAK),1,,,,,,,,,,,,
548,V Sibanda (ZIM),1,28,28,28.00,0,,,,,,,,
549,Sohail Tanvir (PAK),1,,,,,,,,,,,,
550,BA Stokes (ENG),1,4,4,4.00,0,0,,,,,,,
551,Tanveer Ahmed (HKG),1,,,,,,,,,,,,
552,Tanwir Afzal (HKG),1,6,6,6.00,0,2,2/18,9.00,0,1,0,-2.99,2016
553,SP Terry (IRE),1,4,4,4.00,0,,,,,,,,
554,GJ Thompson (IRE),1,44,44,44.00,0,,,,,,,,
555,LJ Tucker (IRE),1,4,4,4.00,0,,,,,,,,
556,JD Unadkat (IND),1,,,,,,,,,,,,
557,JM Vince (ENG),1,16,16,16.00,0,,,,,,,,
558,MS Wade (AUS),1,14,14,14.00,0,,,,,,,,
559,Wahab Riaz (PAK),1,,,,,,,,,,,,
560,DJ Willey (ENG),1,12,12,12.00,0,0,,,,,,,
561,CA Young (IRE),1,2,2*,-,,,,,,,,,
562,CR Brathwaite (WI),9,96,37*,48.00,0,12,3/20,14.50,0,5,0,33.50,2017
563,E Lewis (WI),9,357,125*,44.62,1,,,,,,,,
564,SP Narine (WI),9,21,9,5.25,0,10,3/11,19.60,0,4,0,-14.34,2017
565,MN Samuels (WI),9,283,89*,40.42,0,3,1/11,18.00,0,2,0,22.42,2017
566,CAK Walton (WI),9,144,40,18.00,0,,,,,,,,
567,KOK Williams (WI),9,2,2*,-,,,,,,,,,
568,S Badree (WI),8,1,1*,-,,,,,,,,,
569,R Powell (WI),7,35,28,11.66,0,1,1/20,20.00,0,4,0,-8.33,2017
570,LMP Simmons (WI),7,45,17*,9.00,0,,,,,,,,
571,KA Pollard (WI),6,26,14,6.50,0,0,,,,,,,
572,JN Mohammed (WI),5,59,23*,59.00,0,0,,,,,,,
573,JE Taylor (WI),5,1,1,1.00,0,6,2/31,25.83,0,2,0,-24.83,2017
574,Ahmed Shehzad (PAK),4,84,53,21.00,0,,,,,,,,
575,Babar Azam (PAK),4,137,43,34.25,0,,,,,,,,
576,JC Buttler (ENG),4,71,31,23.66,0,,,,,,,,
577,Hasan Ali (PAK),4,0,0*,-,,,,,,,,,
578,JO Holder (WI),4,40,26*,20.00,0,2,2/27,54.50,0,2,0,-34.49,2017
579,Imad Wasim (PAK),4,4,4,2.00,0,2,1/12,42.50,0,3,0,-40.49,2017
580,CJ Jordan (ENG),4,6,6,6.00,0,5,3/31,29.20,0,1,0,-23.19,2017
581,Kamran Akmal (PAK),4,90,48,22.50,0,,,,,,,,
582,JJ Roy (ENG),4,103,67,25.75,0,,,,,,,,
583,Sarfaraz Ahmed (PAK),4,22,12,11.00,0,,,,,,,,
584,Shadab Khan (PAK),4,16,13,16.00,0,10,4/14,7.50,0,0,0,8.50,2017
585,Shoaib Malik (PAK),4,77,38*,38.50,0,0,,,,,,,
586,Wahab Riaz (PAK),4,25,24,12.50,0,4,1/6,27.00,0,1,0,-14.49,2017
587,DJ Willey (ENG),4,2,1,1.00,0,2,1/29,61.50,0,2,0,-60.49,2017
588,Ahmed Raza (UAE),3,,,,,,,,,,,,
589,Amir Hamza (AFG),3,27,21,27.00,0,0,,,,,,,
590,Amjad Javed (UAE),3,,,,,,,,,,,,
591,Asghar Afghan (AFG),3,27,13,9.00,0,,,,,,,,
592,JM Bairstow (ENG),3,134,60*,67.00,0,,,,,,,,
593,S Bau (PNG),3,69,30,34.50,0,0,,,,,,,
594,F Behardien (SA),3,99,64*,49.50,0,,,,,,,,
595,SW Billings (ENG),3,15,12,7.50,0,,,,,,,,
596,TK Curran (ENG),3,2,1*,-,,,,,,,,,
597,MD Dai (PNG),3,60,31,20.00,0,0,,,,,,,
598,AB de Villiers (SA),3,146,65*,73.00,0,,,,,,,,
599,Fakhar Zaman (PAK),3,26,21,13.00,0,,,,,,,,
600,WT Gavera (PNG),3,3,2,1.50,0,2,2/19,31.50,0,0,0,-29.99,2017
601,Ghulam Shabber (UAE),3,19,10*,-,,,,,,,,,
602,Gulbadin Naib (AFG),3,31,12,15.50,0,1,1/10,10.00,0,1,0,5.50,2017
603,AD Hales (ENG),3,126,47*,63.00,0,,,,,,,,
604,RR Hendricks (SA),3,10,7,3.33,0,,,,,,,,
605,Karim Janat (AFG),3,36,20,12.00,0,2,1/12,36.00,0,0,0,-23.99,2017
606,DA Miller (SA),3,24,9,8.00,0,,,,,,,,
607,Mohammad Nabi (AFG),3,48,38,16.00,0,2,1/21,38.50,0,0,0,-22.49,2017
608,Mohammad Naveed (UAE),3,19,15,9.50,0,7,3/18,9.57,0,1,0,-0.07,2017
609,EJG Morgan (ENG),3,8,6,4.00,0,,,,,,,,
610,M Mosehle (SA),3,51,36,25.50,0,,,,,,,,
611,Muhammad Usman (UAE),3,72,58,36.00,0,,,,,,,,
612,Najibullah Zadran (AFG),3,25,11,12.50,0,,,,,,,,
613,AL Phehlukwayo (SA),3,27,27*,27.00,0,4,2/44,22.25,0,0,0,4.75,2017
614,LE Plunkett (ENG),3,18,18,9.00,0,6,3/27,14.16,0,2,0,-5.16,2017
615,Rameez Shahzad (UAE),3,82,47,41.00,0,,,,,,,,
616,Rashid Khan (AFG),3,35,33,17.50,0,2,1/14,25.00,0,0,0,-7.49,2017
617,JB Reva (PNG),3,7,6,3.50,0,3,2/18,23.00,0,0,0,-19.49,2017
618,Rohan Mustafa (UAE),3,16,9,5.33,0,4,2/27,11.75,0,2,0,-6.41,2017
619,Shafiqullah (AFG),3,26,25,8.66,0,,,,,,,,
620,Shaiman Anwar (UAE),3,157,117*,78.50,1,,,,,,,,
621,L Siaka (PNG),3,56,31,18.66,0,,,,,,,,
622,JT Smuts (SA),3,74,45,24.66,0,0,,,,,,,
623,Sohail Tanvir (PAK),3,6,4,6.00,0,2,1/21,45.00,0,0,0,-38.99,2017
624,TP Ura (PNG),3,56,29,18.66,0,,,,,,,,
625,A Vala (PNG),3,23,13,7.66,0,1,1/17,51.00,0,1,0,-43.33,2017
626,N Vanua (PNG),3,19,14,9.50,0,6,3/35,15.83,0,1,0,-6.33,2017
627,JNT Vare (PNG),3,45,38,15.00,0,,,,,,,,
628,MS Crane (ENG),2,,,,,,,,,,,,
629,LA Dawson (ENG),2,7,7*,-,,,,,,,,,
630,MS Dhoni (IND),2,3,2,3.00,0,,,,,,,,
631,CH Gayle (WI),2,58,40,29.00,0,,,,,,,,
632,Imran Haider (UAE),2,,,,,,,,,,,,
633,Imran Tahir (SA),2,,,,,,,,,,,,
634,KM Jadhav (IND),2,4,4,4.00,0,,,,,,,,
635,V Kohli (IND),2,121,82,60.50,0,,,,,,,,
636,Kuldeep Yadav (IND),2,,,,,,,,,,,,
637,B Kumar (IND),2,,,,,,,,,,,,
638,LS Livingstone (ENG),2,16,16,8.00,0,,,,,,,,
639,Mohammed Qasim (UAE),2,26,13*,26.00,0,,,,,,,,
640,M Morkel (SA),2,5,5*,-,,,,,,,,,
641,CH Morris (SA),2,20,12,10.00,0,2,2/18,21.00,0,0,0,-10.99,2017
642,A Nao (PNG),2,7,7*,-,,,,,,,,,
643,Noor Ali Zadran (AFG),2,41,35,20.50,0,,,,,,,,
644,D Paterson (SA),2,4,4*,-,,,,,,,,,
645,Samiullah Shinwari (AFG),2,7,7,3.50,0,0,,,,,,,
646,T Shamsi (SA),2,,,,,,,,,,,,
647,Shapoor Zadran (AFG),2,1,1*,-,,,,,,,,,
648,CA Soper (PNG),2,7,7,7.00,0,1,1/20,27.00,0,0,0,-19.99,2017
649,Sultan Ahmed (UAE),2,,,,,,,,,,,,
650,Adnan Mufti (UAE),1,6,6*,-,,,,,,,,,
651,R Ashwin (IND),1,11,11*,-,,,,,,,,,
652,D Bau (PNG),1,,,,,,,,,,,,
653,JJ Bumrah (IND),1,,,,,,,,,,,,
654,YS Chahal (IND),1,,,,,,,,,,,,
655,A Dananjaya (SL),1,,,,,,,,,,,,
656,Dawlat Zadran (AFG),1,9,9,9.00,0,0,,,,,,,
657,S Dhawan (IND),1,23,23,23.00,0,,,,,,,,
658,N Dickwella (SL),1,17,17,17.00,0,,,,,,,,
659,RA Jadeja (IND),1,13,13*,-,,,,,,,,,
660,Javed Ahmadi (AFG),1,0,0,0.00,0,,,,,,,,
661,KD Karthik (IND),1,48,48,48.00,0,,,,,,,,
662,DJ Malan (ENG),1,78,78,78.00,0,,,,,,,,
663,SL Malinga (SL),1,,,,,,,,,,,,
664,AD Mathews (SL),1,7,7,7.00,0,0,,,,,,,
665,Mohammad Hafeez (PAK),1,5,5,5.00,0,0,,,,,,,
666,Mohammed Shami (IND),1,,,,,,,,,,,,
667,VV Morea (PNG),1,0,0,0.00,0,,,,,,,,
668,EMDY Munaweera (SL),1,53,53,53.00,0,,,,,,,,
669,AR Nurse (WI),1,13,13*,-,,,,,,,,,
670,MK Pandey (IND),1,51,51*,-,,,,,,,,,
671,RR Pant (IND),1,38,38,38.00,0,,,,,,,,
672,WD Parnell (SA),1,,,,,,,,,,,,
673,AR Patel (IND),1,,,,,,,,,,,,
674,NLTC Perera (SL),1,11,11,11.00,0,0,,,,,,,
675,S Prasanna (SL),1,11,11,11.00,0,1,1/25,25.00,0,0,0,-13.99,2017
676,D Pretorius (SA),1,,,,,,,,,,,,
677,SMA Priyanjan (SL),1,40,40*,-,,,,,,,,,
678,KL Rahul (IND),1,24,24,24.00,0,,,,,,,,
679,AU Rashid (ENG),1,1,1,1.00,0,3,3/25,8.33,0,0,0,-7.33,2017
680,JE Root (ENG),1,17,17,17.00,0,0,,,,,,,
681,Rumman Raees (PAK),1,,,,,,,,,,,,
682,MD Shanaka (SL),1,0,0,0.00,0,,,,,,,,
683,RG Sharma (IND),1,9,9,9.00,0,,,,,,,,
684,L Sreekumar (UAE),1,0,0,0.00,0,,,,,,,,
685,WU Tharanga (SL),1,5,5,5.00,0,,,,,,,,
686,I Udana (SL),1,19,19*,-,,,,,,,,,
687,Usman Ghani (AFG),1,8,8,8.00,0,,,,,,,,
688,MA Wood (ENG),1,,,,,,,,,,,,
689,Zahoor Khan (UAE),1,,,,,,,,,,,,
690,Shoaib Malik (ICC/PAK),11,300,53,75.00,0,3,2/13,18.66,0,4,0,56.33,2018
691,Asif Ali (PAK),10,158,41*,39.50,0,,,,,,,,
692,Faheem Ashraf (PAK),10,37,21,18.50,0,7,3/5,28.00,0,4,0,-9.49,2018
693,Fakhar Zaman (PAK),10,417,91,41.70,0,,,,,,,,
694,Hussain Talat (PAK),10,264,63,29.33,0,4,2/12,10.00,0,4,0,19.33,2018
695,Sarfaraz Ahmed (PAK),10,241,89*,40.16,0,,,,,,,,
696,Shadab Khan (PAK),10,53,29,17.66,0,13,2/23,20.69,0,5,0,-3.02,2018
697,GH Dockrell (IRE),8,47,22*,11.75,0,7,2/15,29.28,0,7,0,-17.53,2018
698,Hasan Ali (PAK),8,0,0,0.00,0,8,2/19,24.50,0,3,0,-24.49,2018
699,Mohammad Nawaz (3) (PAK),8,6,6,6.00,0,8,2/11,22.37,0,2,0,-16.37,2018
700,KJ O'Brien (IRE),8,73,28,10.42,0,4,3/40,25.25,0,3,0,-14.82,2018
701,Simi Singh (IRE),8,123,57*,17.57,0,8,3/23,24.87,0,2,0,-7.30,2018
702,PR Stirling (IRE),8,206,81,25.75,0,2,1/10,49.00,0,3,0,-23.24,2018
703,SR Thompson (IRE),8,59,15,9.83,0,2,1/25,76.50,0,8,0,-66.66,2018
704,GC Wilson (IRE),8,204,58,29.14,0,,,,,,,,
705,S Badree (WI),7,10,7,10.00,0,2,2/4,84.50,0,0,0,-74.49,2018
706,ADS Fletcher (WI),7,116,52,16.57,0,,,,,,,,
707,KMA Paul (WI),7,30,17,15.00,0,8,2/24,26.25,0,1,0,-11.24,2018
708,D Ramdin (WI),7,133,44*,33.25,0,,,,,,,,
709,MN Samuels (WI),7,142,43,20.28,0,0,,,,,,,
710,Tamim Iqbal (BAN/ICC),7,145,74,20.71,0,,,,,,,,
711,AC Agar (AUS),6,52,29,17.33,0,2,2/16,71.00,0,3,0,-53.66,2018
712,A Balbirnie (IRE),6,105,74,17.50,0,,,,,,,,
713,RD Berrington (SCOT),6,169,64*,56.33,0,4,1/7,16.50,0,2,0,39.83,2018
714,DE Budge (SCOT),6,60,24,30.00,0,,,,,,,,
715,AT Carey (AUS),6,58,37*,19.33,0,,,,,,,,
716,PKD Chase (IRE),6,7,4,7.00,0,9,4/35,21.55,0,3,0,-14.55,2018
717,KJ Coetzer (SCOT),6,185,54,30.83,0,,,,,,,,
718,MH Cross (SCOT),6,93,50,23.25,0,,,,,,,,
719,AJ Finch (AUS),6,390,172,78.00,1,,,,,,,,
720,TM Head (AUS),6,109,48,27.25,0,,,,,,,,
721,MA Leask (SCOT),6,56,38*,18.66,0,5,3/31,27.60,0,3,0,-8.93,2018
722,Litton Das (BAN),6,129,61,21.50,0,,,,,,,,
723,CS MacLeod (SCOT),6,113,46*,28.25,0,,,,,,,,
724,Mahmudullah (BAN),6,168,45,42.00,0,2,2/1,5.00,0,4,0,37.00,2018
725,GJ Maxwell (AUS),6,81,56,20.25,0,4,2/35,18.75,0,2,0,1.50,2018
726,Mohammad Amir (PAK),6,0,0*,-,,,,,,,,,
727,HG Munsey (SCOT),6,229,71,38.16,0,,,,,,,,
728,Mushfiqur Rahim (BAN),6,119,46,19.83,0,,,,,,,,
729,Nazmul Islam (BAN),6,17,7,17.00,0,5,3/28,23.60,0,1,0,-6.59,2018
730,R Powell (WI),6,91,43,18.20,0,1,1/34,47.00,0,3,0,-28.79,2018
731,Rashid Khan (AFG/ICC),6,16,9,5.33,0,17,4/12,8.76,0,3,0,-3.43,2018
732,JNK Shannon (IRE),6,109,60,18.16,0,0,,,,,,,
733,Shakib Al Hasan (BAN),6,131,60,21.83,0,5,2/19,28.00,0,1,0,-6.16,2018
734,B Stanlake (AUS),6,7,7,7.00,0,8,4/8,20.87,0,0,0,-13.87,2018
735,MP Stoinis (AUS),6,41,16,13.66,0,4,1/9,32.00,0,4,0,-18.33,2018
736,AJ Tye (AUS),6,32,20,16.00,0,12,3/12,15.25,0,3,0,0.75,2018
737,KOK Williams (WI),6,1,1,0.50,0,9,4/28,24.00,0,3,0,-23.49,2018
738,Asghar Afghan (AFG),5,124,37,24.80,0,,,,,,,,
739,YS Chahal (IND),5,,,,,,,,,,,,
740,SA Edwards (NED),5,85,34*,42.50,0,,,,,,,,
741,AC Evans (SCOT),5,0,0,0.00,0,8,3/23,19.62,0,1,0,-19.62,2018
742,FJ Klaassen (NED),5,2,1*,2.00,0,3,1/29,50.33,0,0,0,-48.33,2018
743,V Kohli (IND),5,119,47,29.75,0,,,,,,,,
744,Mohammad Nabi (AFG),5,53,31*,13.25,0,6,2/19,18.66,0,2,0,-5.41,2018
745,Mohammad Shahzad (AFG),5,120,40,24.00,0,,,,,,,,
746,Mujeeb Ur Rahman (AFG),5,0,0*,-,,,,,,,,,
747,Najibullah Zadran (AFG),5,44,20*,14.66,0,,,,,,,,
748,HH Pandya (IND),5,83,33*,-,,,,,,,,,
749,WTS Porterfield (IRE),5,77,33,15.40,0,,,,,,,,
750,SW Poynter (IRE),5,18,7,9.00,0,,,,,,,,
751,SK Raina (IND),5,106,69,35.33,0,,,,,,,,
752,JA Richardson (AUS),5,6,6*,-,,,,,,,,,
753,Rubel Hossain (BAN),5,2,2*,2.00,0,5,1/13,29.20,0,0,0,-27.19,2018
