,player,matches,runs,hs,batting_avg,_100,wkts,bb_inn,bowling_avg,_5w,catches_taken,stumping_made,avg_diff,season
86,RM Haq (SCOT),2,,,,,,,,,,,,
87,RM Hira (NZ),2,,,,,,,,,,,,
88,MM Iqbal (SCOT),2,12,12,12.00,0,,,,,,,,
89,DPMD Jayawardene (SL),2,39,33,19.50,0,,,,,,,,
90,MG Johnson (AUS),2,3,3*,-,,,,,,,,,
91,IA Karim (KENYA),2,15,11,7.50,0,,,,,,,,
92,KMDN Kulasekara (SL),2,10,10,10.00,0,3,2/22,19.66,0,0,0,-9.66,2013
93,TWM Latham (NZ),2,22,22,22.00,0,,,,,,,,
94,MJ McClenaghan (NZ),2,,,,,,,,,,,,
95,BB McCullum (NZ),2,68,68,68.00,0,,,,,,,,
96,NL McCullum (NZ),2,,,,,,,,,,,,
97,CS MacLeod (SCOT),2,59,46*,59.00,0,2,2/17,13.50,0,1,0,45.50,2013
98,Mahmudullah (BAN),2,3,2,1.50,0,1,1/35,44.00,0,1,0,-42.49,2013
99,SL Malinga (SL),2,0,0,0.00,0,2,1/25,28.50,0,0,0,-28.49,2013
100,SE Marsh (AUS),2,41,28,20.50,0,,,,,,,,
101,T Maruma (ZIM),2,10,10,5.00,0,,,,,,,,
102,GJ Maxwell (AUS),2,28,27,14.00,0,0,,,,,,,
103,Mohammad Irfan (PAK),2,,,,,,,,,,,,
104,PL Mommsen (SCOT),2,25,24*,-,,,,,,,,,
105,C Munro (NZ),2,0,0*,-,,,,,,,,,
106,Mushfiqur Rahim (BAN),2,45,28,22.50,0,,,,,,,,
107,SP Narine (WI),2,28,28,14.00,0,4,3/26,12.50,0,0,0,1.50,2013
108,Nasir Hossain (BAN),2,27,27,13.50,0,,,,,,,,
109,JO Ngoche (KENYA),2,,,,,,,,,,,,
110,KA Pollard (WI),2,72,49*,72.00,0,1,1/16,16.00,0,2,0,56.00,2013
111,WB Rankin (ENG),2,,,,,,,,,,,,
112,MJG Rippon (NED),2,17,17,17.00,0,0,,,,,,,
113,JE Root (ENG),2,91,90*,-,,,,,,,,,
114,HD Rutherford (NZ),2,62,62,62.00,0,,,,,,,,
115,DJG Sammy (WI),2,31,30,15.50,0,1,1/20,24.00,0,1,0,-8.49,2013
116,MN Samuels (WI),2,26,25,13.00,0,1,1/33,33.00,0,1,0,-19.99,2013
117,KC Sangakkara (SL),2,98,59*,98.00,0,,,,,,,,
118,Sarfaraz Ahmed (PAK),2,,,,,,,,,,,,
119,PM Seelaar (NED),2,2,2,2.00,0,0,,,,,,,
120,Shafiul Islam (BAN),2,,,,,,,,,,,,
121,Shamsur Rahman (BAN),2,55,53,27.50,0,,,,,,,,
122,Shakib Al Hasan (BAN),2,105,65,52.50,0,6,4/21,6.83,0,1,0,45.66,2013
123,Sikandar Raza (ZIM),2,45,31,22.50,0,,,,,,,,
124,LMP Simmons (WI),2,9,6,4.50,0,,,,,,,,
125,Sohag Gazi (BAN),2,10,8*,-,,,,,,,,,
126,Sohaib Maqsood (PAK),2,26,26,26.00,0,,,,,,,,
127,BA Stokes (ENG),2,9,9*,-,,,,,,,,,
128,MR Swart (NED),2,116,89,58.00,0,1,1/39,39.00,0,0,0,19.00,2013
129,Tamim Iqbal (BAN),2,45,43,22.50,0,,,,,,,,
130,LRPL Taylor (NZ),2,32,32*,-,,,,,,,,,
131,JC Tredwell (ENG),2,,,,,,,,,,,,
132,Umar Akmal (PAK),2,55,46*,55.00,0,,,,,,,,
133,DLS van Bunge (NED),2,23,19,23.00,0,0,,,,,,,
134,MS Wade (AUS),2,19,15*,19.00,0,,,,,,,,
135,DA Warner (AUS),2,54,53,27.00,0,,,,,,,,
136,SR Watson (AUS),2,44,37,22.00,0,1,1/42,66.00,0,0,0,-43.99,2013
137,CD Barnwell (WI),1,10,10,10.00,0,,,,,,,,
138,CG Burnett (SCOT),1,,,,,,,,,,,,
139,FRJ Coleman (SCOT),1,9,9,9.00,0,,,,,,,,
140,NM Coulter-Nile (AUS),1,13,13,13.00,0,0,,,,,,,
141,ST Gabriel (WI),1,,,,,,,,,,,,
142,Haris Sohail (PAK),1,1,1,1.00,0,,,,,,,,
143,JR Hazlewood (AUS),1,,,,,,,,,,,,
144,Junaid Khan (PAK),1,0,0*,-,,,,,,,,,
145,RAS Lakmal (SL),1,,,,,,,,,,,,
146,MA Leask (SCOT),1,1,1,1.00,0,,,,,,,,
147,BMAJ Mendis (SL),1,0,0,0.00,0,,,,,,,,
148,Mominul Haque (BAN),1,9,9,9.00,0,0,,,,,,,
149,N M'shangwe (ZIM),1,0,0,0.00,0,1,1/29,29.00,0,0,0,-28.99,2013
150,CT Mutombodzi (ZIM),1,12,12*,-,,,,,,,,,
151,SJ Myburgh (NED),1,41,41,41.00,0,,,,,,,,
152,NM Odhiambo (KENYA),1,0,0,0.00,0,1,1/13,13.00,0,1,0,-12.99,2013
153,LN Oluoch (KENYA),1,,,,,,,,,,,,
154,KP Pietersen (ENG),1,,,,,,,,,,,,
155,Robiul Islam (BAN),1,,,,,,,,,,,,
156,Sajedul Islam (BAN),1,,,,,,,,,,,,
157,PA van Meekeren (NED),1,3,3,3.00,0,0,,,,,,,
158,CD Wallace (SCOT),1,23,23,23.00,0,,,,,,,,
159,CR Woakes (ENG),1,,,,,,,,,,,,
160,Ziaur Rahman (BAN),1,2,2,2.00,0,,,,,,,,
161,SP Narine (WI),3,0,0*,-,,,,,,,,,
162,KA Pollard (WI),3,29,16,14.50,0,1,1/19,33.00,0,0,0,-18.49,2014
163,D Ramdin (WI),3,3,2*,3.00,0,,,,,,,,
164,AD Russell (WI),3,15,14*,15.00,0,1,1/17,38.00,0,1,0,-22.99,2014
165,DJG Sammy (WI),3,20,10,10.00,0,3,3/22,14.66,0,2,0,-4.66,2014
166,LMP Simmons (WI),3,37,36,18.50,0,,,,,,,,
167,DR Smith (WI),3,17,9,8.50,0,,,,,,,,
168,CJ Anderson (NZ),2,29,15,14.50,0,3,2/32,27.66,0,3,0,-13.16,2014
169,S Badree (WI),2,,,,,,,,,,,,
170,RS Bopara (ENG),2,49,28*,-,,,,,,,,,
171,TA Boult (NZ),2,5,5,5.00,0,4,2/22,12.50,0,2,0,-7.49,2014
172,DM Bravo (WI),2,44,30,22.00,0,,,,,,,,
173,JC Buttler (ENG),2,36,26,18.00,0,,,,,,,,
174,SS Cottrell (WI),2,,,,,,,,,,,,
175,ADS Fletcher (WI),2,114,62,57.00,0,,,,,,,,
176,HF Gurney (ENG),2,,,,,,,,,,,,
177,AD Hales (ENG),2,106,66,53.00,0,,,,,,,,
