,player,country,matches,runs,highest_score,batting_avg,100s,wickets,best_bowling_innings,bowling_avg,5wicket_haul,catches_taken,stumping_made,avg_diff,year,allrounder_score
53,AR Cusack ,IRE,7,13,13*,13.0,0,3,1/7,38.0,0,0,0,-24.99,2015,-6.300000000000001
54,GH Dockrell ,IRE,7,26,10*,8.66,0,5,3/21,17.2,0,4,0,-8.53,2015,-0.5619999999999994
55,AC Evans ,SCOT,7,0,0,0.0,0,9,5/24,14.88,1,3,0,-14.88,2015,-0.8640000000000003
56,MA Leask ,SCOT,7,24,13,6.0,0,8,3/20,14.87,0,3,0,-8.87,2015,0.5390000000000006
57,B Regmi ,NEP,7,19,11,3.8,0,10,4/16,15.5,0,1,0,-11.69,2015,0.4900000000000002
58,SM Sharif ,SCOT,7,34,26,17.0,0,8,3/29,23.87,0,1,0,-6.87,2015,1.1390000000000002
59,Sompal Kami ,NEP,7,45,16,11.25,0,7,2/24,26.42,0,0,0,-15.17,2015,-1.7509999999999994
60,MRJ Watt ,SCOT,7,1,1*,1.0,0,4,3/28,42.25,0,1,0,-41.24,2015,-10.774999999999999
61,JH Davey ,SCOT,6,12,8,12.0,0,2,1/22,75.5,0,3,0,-63.49,2015,-18.25
62,Mirwais Ashraf ,AFG,6,0,0*,0.0,0,8,2/21,19.75,0,0,0,-19.74,2015,-2.7249999999999996
63,Mohammad Nabi ,AFG,6,117,33*,29.25,0,7,3/25,23.14,0,5,0,6.1,2015,4.633000000000001
64,MJG Rippon ,NED,6,64,25*,64.0,0,7,3/11,12.42,0,0,0,51.57,2015,18.274
65,PM Seelaar ,NED,6,25,6*,6.25,0,3,2/19,28.0,0,1,0,-21.74,2015,-5.325
66,T van der Gugten ,NED,6,14,12*,14.0,0,5,2/16,29.6,0,1,0,-15.59,2015,-2.6800000000000006
67,AG Cremer ,ZIM,5,16,9,8.0,0,7,3/18,17.28,0,1,0,-9.28,2015,0.016000000000000014
68,SP Gauchan ,NEP,5,8,6*,4.0,0,1,1/30,85.0,0,0,0,-80.99,2015,-23.9
69,TE Kane ,IRE,5,28,26*,28.0,0,7,3/19,10.71,0,0,0,17.28,2015,7.987000000000001
70,Karan KC ,NEP,5,5,2*,2.5,0,4,2/24,34.5,0,1,0,-31.99,2015,-8.0
71,Sagar Pun ,NEP,5,55,20,11.0,0,4,3/26,20.25,0,0,0,-9.24,2015,-1.1749999999999998
72,Shahid Afridi ,PAK,5,76,45,19.0,0,2,1/30,75.0,0,1,0,-55.99,2015,-16.0
73,Sikandar Raza ,ZIM,5,43,17,10.75,0,1,1/19,85.0,0,4,0,-74.24,2015,-21.875
74,RE van der Merwe ,NED,5,65,40*,32.5,0,9,2/10,14.44,0,4,0,18.05,2015,9.018
75,Aizaz Khan ,HKG,4,48,31,24.0,0,4,1/7,21.5,0,2,0,2.5,2015,2.3499999999999988
76,Anwar Ali ,PAK,4,48,46,24.0,0,3,2/27,38.66,0,3,0,-14.66,2015,-3.1980000000000004
77,Haseeb Amjad ,HKG,4,5,5,5.0,0,10,4/16,9.9,0,1,0,-4.89,2015,2.53
78,Irfan Ahmed ,HKG,4,34,16,8.5,0,8,3/11,12.5,0,1,0,-3.99,2015,2.0
79,MJ McClenaghan ,NZ,4,0,0,0.0,0,7,2/28,18.71,0,0,0,-18.71,2015,-2.813
80,NL McCullum ,NZ,4,24,18*,12.0,0,3,2/31,45.33,0,2,0,-33.33,2015,-8.799
81,JF Mooney ,IRE,4,27,18*,13.5,0,6,2/7,13.66,0,0,0,-0.16,2015,2.3520000000000003
82,Nadeem Ahmed ,HKG,4,10,10,10.0,0,1,1/25,68.0,0,3,0,-57.99,2015,-17.0
83,Nizakat Khan ,HKG,4,85,26,21.25,0,1,1/10,27.0,0,0,0,-5.74,2015,-1.3249999999999993
84,AM Phangiso ,SA,4,2,2,2.0,0,7,3/30,17.14,0,0,0,-15.14,2015,-1.742
85,Shoaib Malik ,PAK,4,68,46*,22.66,0,5,2/16,12.0,0,0,0,10.66,2015,5.198
86,Tanwir Afzal ,HKG,4,23,18,7.66,0,2,1/34,55.0,0,0,0,-47.33,2015,-13.402000000000001
87,P Utseya ,ZIM,4,16,13*,16.0,0,1,1/31,109.0,0,0,0,-92.99,2015,-27.499999999999996
88,D Wiese ,SA,4,2,2,2.0,0,5,2/12,15.8,0,2,0,-13.79,2015,-2.14
89,SC Williams ,ZIM,4,107,58*,35.66,0,7,3/28,17.71,0,2,0,17.95,2015,8.184999999999999
90,CJA Amini ,PNG,3,43,37*,43.0,0,2,2/23,15.0,0,2,0,28.0,2015,9.200000000000001
91,MD Dai ,PNG,3,18,11,9.0,0,2,2/13,24.5,0,3,0,-15.49,2015,-3.8499999999999996
