,player,country,matches,runs,highest_score,batting_avg,100s,wickets,best_bowling_innings,bowling_avg,5wicket_haul,catches_taken,stumping_made,avg_diff,year,allrounder_score
53,MJ McClenaghan ,NZ,6,5,4,5.0,0,19,4/43,14.84,0,3,0,-9.84,2013,3.248
54,NL McCullum ,NZ,6,73,32,24.33,0,8,2/23,26.87,0,6,0,-2.54,2013,4.071
55,MW Machan ,SCOT,6,234,114,39.0,1,6,3/31,28.66,0,1,0,10.33,2013,8.802000000000003
56,KD Mills ,NZ,6,36,28*,36.0,0,8,4/30,26.12,0,2,0,9.87,2013,8.964
57,Mohammed Shami ,IND,6,6,6*,6.0,0,6,2/25,41.83,0,2,0,-35.83,2013,-8.349
58,M Morkel ,SA,6,8,8,2.0,0,7,3/34,37.71,0,0,0,-35.71,2013,-8.413
59,TJ Murtagh ,IRE,6,33,23*,16.5,0,7,3/33,33.14,0,1,0,-16.64,2013,-1.241999999999999
60,I Wardlaw ,SCOT,6,11,7*,11.0,0,12,4/43,25.08,0,0,0,-14.08,2013,0.47600000000000087
61,KS Williamson ,NZ,6,175,67,35.0,0,5,2/25,39.4,0,2,0,-4.39,2013,3.6800000000000015
62,Mudassar Bukhari ,NED,5,47,22,11.75,0,8,3/41,26.25,0,0,0,-14.49,2013,-0.7750000000000004
63,KM Jarvis ,ZIM,5,14,12*,14.0,0,7,2/18,34.71,0,2,0,-20.71,2013,-2.712999999999999
64,CS MacLeod ,SCOT,5,97,39,19.4,0,4,2/26,24.25,0,1,0,-4.84,2013,1.6849999999999996
65,A Mishra ,IND,5,9,9,9.0,0,18,6/48,11.61,1,1,0,-2.61,2013,5.517
66,CH Morris ,SA,5,13,9*,6.5,0,6,2/25,35.16,0,0,0,-28.66,2013,-6.147999999999998
67,WB Rankin ,ENG,5,5,4,5.0,0,9,4/46,16.88,0,0,0,-11.88,2013,-0.3639999999999999
68,Shoaib Malik ,PAK,5,69,43,17.25,0,1,1/27,76.0,0,1,0,-58.74,2013,-15.600000000000001
69,BA Stokes ,ENG,5,57,27,19.0,0,6,5/61,36.66,1,1,0,-17.66,2013,-1.597999999999999
70,Asad Ali ,PAK,4,13,11,6.5,0,2,1/22,57.5,0,0,0,-50.99,2013,-14.05
71,F Behardien ,SA,4,3,2,1.0,0,5,3/19,19.2,0,0,0,-18.19,2013,-3.86
72,AR Cusack ,IRE,4,0,0,0.0,0,6,2/48,25.16,0,1,0,-25.16,2013,-5.748
73,RK Kleinveldt ,SA,4,55,43,18.33,0,2,1/10,86.0,0,1,0,-67.66,2013,-17.868000000000002
74,BAW Mendis ,SL,4,2,2,1.0,0,11,4/51,15.9,0,0,0,-14.9,2013,-1.0699999999999998
75,BMAJ Mendis ,SL,4,51,25,12.75,0,1,1/28,47.0,0,1,0,-34.24,2013,-8.7
76,T Panyangara ,ZIM,4,4,3*,2.0,0,1,1/49,220.0,0,0,0,-217.99,2013,-64.9
77,AM Phangiso ,SA,4,18,18*,9.0,0,4,1/48,50.0,0,0,0,-40.99,2013,-10.2
78,R Rampaul ,WI,4,2,2,2.0,0,5,3/38,28.4,0,2,0,-26.39,2013,-6.22
79,TG Southee ,NZ,4,28,15,28.0,0,3,3/37,51.0,0,0,0,-22.99,2013,-3.1999999999999975
80,MR Swart ,NED,4,28,20,7.0,0,2,1/31,43.5,0,1,0,-36.49,2013,-9.649999999999999
81,RML Taylor ,SCOT,4,40,16,13.33,0,6,3/39,30.33,0,2,0,-16.99,2013,-1.9669999999999979
82,R Vinay Kumar ,IND,4,32,27*,32.0,0,2,1/32,76.5,0,2,0,-44.49,2013,-9.549999999999999
83,Abdur Razzak ,BAN,3,73,53*,73.0,0,1,1/10,98.0,0,0,0,-24.99,2013,0.10000000000000497
84,Abdur Rehman ,PAK,3,7,7,7.0,0,8,4/48,13.37,0,2,0,-6.37,2013,1.189000000000001
85,NM Carter ,SCOT,3,0,0,0.0,0,5,3/27,26.4,0,0,0,-26.39,2013,-6.419999999999999
86,TLW Cooper ,NED,3,60,38,20.0,0,1,1/43,106.0,0,2,0,-85.99,2013,-23.499999999999996
87,Mahmudullah ,BAN,3,142,75*,71.0,0,1,1/29,59.0,0,0,0,12.0,2013,11.000000000000004
88,SW Masakadza ,ZIM,3,33,33,16.5,0,6,4/51,30.0,0,0,0,-13.49,2013,-0.5999999999999996
89,JF Mooney ,IRE,3,28,27,14.0,0,1,1/9,65.0,0,2,0,-50.99,2013,-13.6
90,E Schiferli ,NED,3,8,5,2.66,0,2,2/34,37.0,0,0,0,-34.33,2013,-9.436
91,SMSM Senanayake ,SL,3,7,7,7.0,0,4,2/29,29.0,0,0,0,-21.99,2013,-4.699999999999999
92,Shafiul Islam ,BAN,3,6,4,3.0,0,4,2/39,37.0,0,0,0,-33.99,2013,-8.7
93,Shakib Al Hasan ,BAN,3,53,34,17.66,0,1,1/42,112.0,0,1,0,-94.33,2013,-26.236
94,MC Sorensen ,IRE,3,55,31,55.0,0,5,3/36,19.4,0,1,0,35.6,2013,17.68
95,GP Swann ,ENG,3,16,15,8.0,0,3,1/33,48.0,0,1,0,-39.99,2013,-10.299999999999999
96,DL Vettori ,NZ,3,5,5,5.0,0,2,1/16,33.0,0,1,0,-27.99,2013,-7.300000000000001
97,Ziaur Rahman ,BAN,3,29,12,9.66,0,7,5/30,13.85,1,0,0,-4.19,2013,1.809000000000001
98,RG Aga ,KENYA,2,12,10,6.0,0,2,2/32,37.0,0,1,0,-30.99,2013,-8.1
99,MT Chinouya ,ZIM,2,6,6*,6.0,0,1,1/36,50.0,0,0,0,-43.99,2013,-12.3
100,JW Dernbach ,ENG,2,2,2,2.0,0,1,1/55,142.0,0,0,0,-139.99,2013,-41.5
101,GD Elliott ,NZ,2,27,27,27.0,0,1,1/13,13.0,0,0,0,14.0,2013,7.200000000000001
102,Junaid Siddiqui ,CAN,2,12,12,12.0,0,1,1/20,33.0,0,1,0,-20.99,2013,-4.8
103,K Kamyuka ,CAN,2,2,2,2.0,0,4,4/38,11.75,0,0,0,-9.74,2013,-1.525
104,RAS Lakmal ,SL,2,1,1,1.0,0,4,3/22,13.75,0,0,0,-12.74,2013,-2.525
105,AD Mathews ,SL,12,448,93,44.8,0,7,2/48,35.85,0,1,0,8.94,2014,9.264999999999999
106,E Chigumbura ,ZIM,11,279,90,34.87,0,1,1/33,80.0,0,8,0,-45.12,2014,-9.751999999999999
107,TM Dilshan ,SL,11,447,88,44.7,0,4,3/40,44.5,0,2,0,0.2,2014,5.730000000000002
108,JP Duminy ,SA,11,234,51,33.42,0,8,3/35,37.12,0,6,0,-3.69,2014,4.632000000000003
109,SL Malinga ,SL,11,18,10,3.6,0,15,4/24,33.13,0,4,0,-29.53,2014,-3.9989999999999997
110,SMA Priyanjan ,SL,11,187,43,23.37,0,1,1/18,125.0,0,2,0,-101.62,2014,-27.851999999999997
111,SC Williams ,ZIM,11,299,70,29.9,0,10,2/21,39.1,0,6,0,-9.19,2014,3.2300000000000004
112,JM Anderson ,ENG,10,22,9*,11.0,0,12,2/10,29.0,0,5,0,-17.99,2014,-0.6999999999999993
113,KMDN Kulasekara ,SL,10,56,42*,9.33,0,7,3/15,52.28,0,6,0,-42.95,2014,-9.851999999999999
114,H Masakadza ,ZIM,10,398,93,39.8,0,2,2/37,21.5,0,1,0,18.3,2014,10.07
115,Sikandar Raza ,ZIM,10,359,141,39.88,1,3,2/25,41.33,0,6,0,-1.44,2014,4.453000000000001
116,Imran Tahir ,SA,9,25,23*,25.0,0,16,3/44,21.81,0,0,0,3.18,2014,8.257000000000001
117,R McLaren ,SA,9,61,24,15.25,0,20,4/48,17.9,0,1,0,-2.64,2014,6.730000000000002
118,SMSM Senanayake ,SL,9,56,13,9.33,0,13,4/13,24.15,0,5,0,-14.82,2014,0.38700000000000045
119,JC Tredwell ,ENG,9,53,30,13.25,0,16,4/41,20.62,0,3,0,-7.37,2014,3.9140000000000015
120,P Utseya ,ZIM,9,66,30*,11.0,0,11,5/36,32.27,1,2,0,-21.27,2014,-1.9810000000000008
121,DW Steyn ,SA,8,38,23,12.66,0,12,4/34,27.0,0,1,0,-14.33,2014,0.5640000000000001
122,HF Gurney ,ENG,7,7,4*,7.0,0,10,4/55,27.4,0,1,0,-20.39,2014,-2.419999999999998
123,CJ Jordan ,ENG,7,80,38*,20.0,0,13,5/29,25.3,1,4,0,-5.3,2014,4.3100000000000005
124,M Morkel ,SA,7,0,0,0.0,0,11,2/39,32.63,0,3,0,-32.63,2014,-6.489
125,J Nyumbu ,ZIM,7,24,18,4.8,0,10,3/42,31.8,0,4,0,-26.99,2014,-4.619999999999999
126,WD Parnell ,SA,7,40,24,20.0,0,11,3/28,26.09,0,1,0,-6.09,2014,3.4730000000000008
127,AM Phangiso ,SA,7,18,13,9.0,0,10,3/43,23.6,0,3,0,-14.59,2014,-0.4800000000000004
128,SK Raina ,IND,7,227,100,45.4,1,5,1/12,28.2,0,5,0,17.2,2014,11.200000000000001
129,MN Waller ,ZIM,7,65,20,10.83,0,2,1/9,50.5,0,2,0,-39.66,2014,-10.218
130,Al-Amin Hossain ,BAN,6,1,1*,0.5,0,13,4/51,19.3,0,1,0,-18.8,2014,-1.6900000000000004
