,player,Team,weight score
455,Zaker Taqawi ,SWE,3.496
451,A Nathwani ,Aut,3.4330000000000007
401,Waseem Abbas ,MLT,3.049000000000002
400,LM Jongwe ,ZIM,3.048
450,B Kumar ,IND,2.8760000000000003
471,Syazrul Idrus ,MAS,2.755
464,Vraj Patel ,KENYA,2.3630000000000004
402,T Shamsi ,SA,2.1550000000000002
250,Rashid Khan ,AFG/ICC,2.0480000000000005
404,Mustafizur Rahman ,BAN,2.036
