,player,matches,runs,hs,batting_avg,_100,wkts,bb_inn,bowling_avg,_5w,catches_taken,stumping_made,avg_diff,season
73,MS Dhoni (IND),7,99,45*,33.00,0,0,,,,,,,
74,GH Dockrell (IRE),7,8,4*,-,,,,,,,,,
75,EC Joyce (IRE),7,317,116*,63.40,1,,,,,,,,
76,KJ O'Brien (IRE),7,184,84*,36.80,0,13,4/13,18.23,0,5,0,18.56,2013
77,NJ O'Brien (IRE),7,254,70,42.33,0,,,,,,,,
78,MDKJ Perera (SL),7,25,9,4.16,0,,,,,,,,
79,NLTC Perera (SL),7,124,65,31.00,0,7,3/31,24.71,0,1,0,6.28,2013
80,WTS Porterfield (IRE),7,308,112,44.00,1,,,,,,,,
81,PR Stirling (IRE),7,206,103,29.42,1,5,2/28,35.40,0,1,0,-5.97,2013
82,BV Vitori (ZIM),7,29,17,5.80,0,9,2/27,32.77,0,1,0,-26.97,2013
83,GC Wilson (IRE),7,61,35*,10.16,0,,,,,,,,
84,RD Berrington (SCOT),6,72,35,18.00,0,0,,,,,,,
85,SCJ Broad (ENG),6,14,7*,14.00,0,8,3/50,32.37,0,1,0,-18.37,2013
86,ST Finn (ENG),6,16,16,16.00,0,7,2/43,36.71,0,0,0,-20.71,2013
87,JEC Franklin (NZ),6,35,16*,11.66,0,0,,,,,,,
88,MJ Guptill (NZ),6,372,189*,93.00,2,,,,,,,,
89,RM Haq (SCOT),6,25,25,6.25,0,8,3/26,28.25,0,0,0,-21.99,2013
90,JO Holder (WI),6,19,19*,9.50,0,10,4/13,22.10,0,2,0,-12.59,2013
91,CA Ingram (SA),6,181,82,30.16,0,,,,,,,,
92,DT Johnston (IRE),6,75,24,25.00,0,3,2/35,78.33,0,2,0,-53.33,2013
93,Kamran Akmal (PAK),6,129,81,21.50,0,,,,,,,,
94,KMDN Kulasekara (SL),6,81,58*,20.25,0,6,3/42,35.50,0,1,0,-15.24,2013
95,MJ McClenaghan (NZ),6,5,4,5.00,0,19,4/43,14.84,0,3,0,-9.84,2013
96,BB McCullum (NZ),6,77,40*,19.25,0,,,,,,,,
97,NL McCullum (NZ),6,73,32,24.33,0,8,2/23,26.87,0,6,0,-2.54,2013
98,MW Machan (SCOT),6,234,114,39.00,1,6,3/31,28.66,0,1,0,10.33,2013
