player,matches,inn,no,runs,hs,avg,bf,sr,_100,_50,_0,_4s,_6s,season
RL Chase (WI),2,4,0,72,48,18.00,140,51.42,0,0,1,8,1,2019
PJ Cummins (AUS),5,9,2,71,26*,10.14,210,33.80,0,0,2,9,0,2019
SO Hetmyer (WI),2,4,0,71,35,17.75,121,58.67,0,0,0,10,0,2019
JL Pattinson (AUS),2,4,1,69,47*,23.00,106,65.09,0,0,1,4,4,2019
RAS Lakmal (SL),2,3,0,64,40,21.33,167,38.32,0,0,0,6,3,2019
SSJ Brooks (WI),2,4,0,63,50,15.75,161,39.13,0,1,1,10,0,2019
Z Crawley (ENG),4,6,0,417,267,69.50,661,63.08,1,2,1,52,1,2020
JC Buttler (ENG),6,9,1,416,152,52.00,817,50.91,1,2,1,44,5,2020
BA Stokes (ENG),4,7,1,372,176,62.00,659,56.44,1,1,1,38,5,2020
DP Sibley (ENG),6,9,0,324,120,36.00,941,34.43,1,2,2,25,0,2020
RJ Burns (ENG),6,9,0,254,90,28.22,583,43.56,0,2,1,27,0,2020
JE Root (ENG),5,8,2,224,68*,37.33,425,52.70,0,1,0,22,1,2020
OJ Pope (ENG),6,9,1,215,91,26.87,374,57.48,0,2,0,25,0,2020
J Blackwood (WI),3,6,0,211,95,35.16,363,58.12,0,2,1,26,0,2020
Azhar Ali (PAK),3,5,1,210,141*,52.50,531,39.54,1,0,1,27,0,2020
Babar Azam (PAK),3,5,1,195,69,48.75,371,52.56,0,2,0,23,0,2020
SSJ Brooks (WI),3,6,0,195,68,32.50,402,48.50,0,2,1,24,2,2020
Shan Masood (PAK),3,5,0,179,156,35.80,411,43.55,1,0,1,20,2,2020
KC Brathwaite (WI),3,6,0,176,75,29.33,385,45.71,0,2,0,18,0,2020
Mohammad Rizwan (PAK),3,4,0,161,72,40.25,336,47.91,0,2,0,14,1,2020
RL Chase (WI),3,6,0,157,51,26.16,390,40.25,0,1,0,15,0,2020
CR Woakes (ENG),5,5,1,144,84*,36.00,231,62.33,0,1,1,17,0,2020
Abid Ali (PAK),3,5,0,139,60,27.80,363,38.29,0,1,0,14,0,2020
SO Dowrich (WI),3,6,0,126,61,21.00,236,53.38,0,1,2,15,0,2020
SCJ Broad (ENG),5,5,2,124,62,41.33,111,111.71,0,1,0,15,4,2020
JO Holder (WI),3,6,1,114,46,22.80,219,52.05,0,0,0,14,1,2020
DM Bess (ENG),6,7,5,111,31*,55.50,195,56.92,0,0,0,10,2,2020
SD Hope (WI),3,6,0,105,31,17.50,286,36.71,0,0,0,17,0,2020
JD Campbell (WI),3,6,1,84,32,16.80,153,54.90,0,0,1,10,0,2020
Asad Shafiq (PAK),3,5,0,67,29,13.40,145,46.20,0,0,0,5,0,2020
Yasir Shah (PAK),3,4,0,63,33,15.75,89,70.78,0,0,0,8,1,2020
Shadab Khan (PAK),1,2,0,60,45,30.00,98,61.22,0,0,0,5,0,2020
AS Joseph (WI),2,3,0,59,32,19.66,81,72.83,0,0,0,7,0,2020
JL Denly (ENG),1,2,0,47,29,23.50,128,36.71,0,0,0,7,0,2020
JC Archer (ENG),4,4,0,42,23,10.50,80,52.50,0,0,1,5,0,2020
JM Anderson (ENG),5,4,1,32,11,10.66,55,58.18,0,0,0,4,0,2020
Fawad Alam (PAK),2,3,1,21,21,10.50,87,24.13,0,0,1,1,0,2020
SM Curran (ENG),2,1,0,17,17,17.00,39,43.58,0,0,0,1,1,2020
KAJ Roach (WI),3,5,2,15,5*,,,,,,,,,
Shaheen Shah Afridi (PAK),3,4,1,14,9*,,,,,,,,,
RRS Cornwall (WI),1,2,0,12,10,,,,,,,,,
MA Wood (ENG),1,2,0,,,,,,,,,,,
Mohammad Abbas (PAK),3,4,1,,3*,,,,,,,,,
Naseem Shah (PAK),3,4,1,,,,,,,,,,,
ST Gabriel (WI),3,5,3,,,,,,,,,,,
JE Root (ENG),6,11,1,661,180*,66.10,1181,55.96,3,1,0,81,0,2021
RG Sharma (IND),5,10,1,432,127,48.00,1015,42.56,1,2,0,50,4,2021
FDM Karunaratne (SL),2,3,0,428,244,142.66,705,60.70,2,1,0,48,1,2021
RJ Burns (ENG),6,11,0,421,132,38.27,1050,40.09,1,3,3,51,2,2021
DP Conway (NZ),3,6,0,379,200,63.16,758,50.00,1,2,0,46,1,2021
Abid Ali (PAK),4,6,1,348,215*,69.60,659,52.80,1,1,0,52,1,2021
Fawad Alam (PAK),4,5,1,325,140,81.25,549,59.19,2,1,1,44,0,2021
KL Rahul (IND),4,8,0,315,129,39.37,735,42.85,1,1,1,39,2,2021
Najmul Hossain Shanto (BAN),3,6,1,308,163,61.60,560,55.00,2,0,2,26,7,2021
Mominul Haque (BAN),3,5,1,301,127,75.25,634,47.47,1,1,0,35,0,2021
Tamim Iqbal (BAN),2,4,1,280,92,93.33,375,74.66,0,3,0,40,4,2021
V Kohli (IND),5,9,0,275,55,30.55,630,43.65,0,2,1,32,0,2021
BRM Taylor (ZIM),3,6,0,265,92,44.16,274,96.71,0,2,0,42,2,2021
CA Pujara (IND),5,10,1,250,91,27.77,748,33.42,0,2,0,37,0,2021
Q de Kock (SA),2,3,1,237,141*,118.50,334,70.95,1,1,1,20,7,2021
Azhar Ali (PAK),4,6,0,224,126,37.33,485,46.18,1,0,1,29,1,2021
J Blackwood (WI),4,8,0,223,55,27.87,459,48.58,0,1,0,31,0,2021
DM de Silva (SL),2,3,0,209,166,69.66,352,59.37,1,0,0,26,1,2021
HDRL Thirimanne (SL),2,3,0,200,140,66.66,429,46.62,1,1,0,23,0,2021
Babar Azam (PAK),4,6,0,195,75,32.50,448,43.52,0,2,1,25,1,2021
RA Jadeja (IND),5,9,0,191,56,21.22,460,41.52,0,1,0,25,2,2021
RR Pant (IND),5,9,0,191,50,21.22,389,49.10,0,1,0,19,1,2021
LRPL Taylor (NZ),3,6,2,185,80,46.25,349,53.00,0,1,0,21,2,2021
JM Bairstow (ENG),4,7,0,184,57,26.28,376,48.93,0,1,1,26,1,2021
JO Holder (WI),4,8,0,181,58,22.62,341,53.07,0,1,1,25,4,2021
RW Chakabva (ZIM),3,6,2,178,80,44.50,385,46.23,0,1,0,24,3,2021
AM Rahane (IND),5,9,0,173,61,19.22,465,37.20,0,1,1,17,0,2021
KC Brathwaite (WI),4,8,0,170,97,21.25,478,35.56,0,1,1,20,0,2021
Litton Das (BAN),3,4,0,170,95,42.50,271,62.73,0,2,0,21,1,2021
OJ Pope (ENG),3,6,1,167,81,33.40,312,53.52,0,1,0,18,0,2021
Mohammad Rizwan (PAK),4,6,1,160,45,32.00,355,45.07,0,0,0,19,1,2021
DP Sibley (ENG),4,8,1,160,60*,22.85,563,28.41,0,1,2,14,0,2021
Mushfiqur Rahim (BAN),3,4,1,159,68*,53.00,311,51.12,0,1,0,20,0,2021
Mahmudullah (BAN),1,1,1,150,150*,-,,,,,,,,
Imran Butt (PAK),4,6,0,142,91,23.66,349,40.68,0,1,1,13,0,2021
H Hameed (ENG),3,5,0,140,68,28.00,446,31.39,0,2,2,18,0,2021
Shadman Islam (BAN),1,2,1,138,115*,138.00,260,53.07,1,0,0,13,0,2021
N Dickwella (SL),2,3,1,132,77*,66.00,130,101.53,0,1,0,13,1,2021
RL Chase (WI),4,7,0,127,62,18.14,366,34.69,0,1,1,16,2,2021
TWM Latham (NZ),3,6,1,127,36,25.40,349,36.38,0,0,0,12,0,2021
HE van der Dussen (SA),2,3,1,125,75*,62.50,315,39.68,0,1,0,10,1,2021
SN Thakur (IND),2,3,0,117,60,39.00,114,102.63,0,2,1,14,4,2021
KS Williamson (NZ),2,4,1,115,52*,38.33,318,36.16,0,1,0,16,0,2021
HM Nicholls (NZ),3,4,0,112,61,28.00,290,38.62,0,1,0,8,0,2021
DT Tiripano (ZIM),3,6,1,107,52,21.40,269,39.77,0,1,1,14,0,2021
DW Lawrence (ENG),3,5,1,106,81*,26.50,164,64.63,0,1,3,17,0,2021
DJ Malan (ENG),2,3,0,106,70,35.33,228,46.49,0,1,0,16,0,2021
Saif Hassan (BAN),3,6,0,103,43,17.16,222,46.39,0,0,2,15,2,2021
BOP Fernando (SL),2,3,0,102,81,34.00,269,37.91,0,1,0,12,0,2021
KOA Powell (WI),4,7,0,102,51,14.57,222,45.94,0,1,1,17,0,2021
LD Chandimal (SL),6,10,3,719,206*,102.71,1299,55.35,2,4,1,58,15,2022
JM Bairstow (ENG),6,11,2,681,162,75.66,705,96.59,4,1,1,89,13,2022
JE Root (ENG),7,12,3,615,176,68.33,841,73.12,3,1,0,80,3,2022
DJ Mitchell (NZ),3,6,1,538,190,107.60,1067,50.42,3,2,0,60,8,2022
AD Mathews (SL),6,9,1,521,199,65.12,1150,45.30,2,1,2,48,4,2022
OJ Pope (ENG),7,13,1,456,145,38.00,695,65.61,1,3,1,55,3,2022
FDM Karunaratne (SL),6,11,1,403,86,40.30,819,49.20,0,4,0,38,0,2022
TA Blundell (NZ),3,6,1,383,106,76.60,771,49.67,1,3,0,54,0,2022
Litton Das (BAN),4,7,0,382,141,54.57,720,53.05,1,3,0,44,1,2022
BA Stokes (ENG),7,10,1,368,103,40.88,501,73.45,1,2,0,39,13,2022
AZ Lees (ENG),7,13,0,327,67,25.15,592,55.23,0,2,0,45,1,2022
BKG Mendis (SL),6,10,0,324,85,32.40,615,52.68,0,3,0,35,1,2022
BOP Fernando (SL),6,9,1,313,64,39.12,498,62.85,0,3,0,36,8,2022
Mushfiqur Rahim (BAN),2,3,1,303,175*,151.50,676,44.82,2,0,0,29,0,2022
DM de Silva (SL),5,9,0,298,109,33.11,504,59.12,1,1,0,37,3,2022
Z Crawley (ENG),7,13,1,276,69*,23.00,482,57.26,0,1,1,44,0,2022
Babar Azam (PAK),2,4,0,271,119,67.75,528,51.32,1,2,0,24,4,2022
BT Foakes (ENG),6,9,3,240,113*,40.00,507,47.33,1,1,2,26,0,2022
Tamim Iqbal (BAN),4,7,0,234,133,33.42,382,61.25,1,0,2,32,0,2022
Shakib Al Hasan (BAN),4,7,0,222,63,31.71,324,68.51,0,3,1,24,1,2022
N Dickwella (SL),6,10,1,221,61*,24.55,282,78.36,0,3,0,24,1,2022
RR Pant (IND),1,2,0,203,146,101.50,197,103.04,1,1,0,27,4,2022
Abdullah Shafique (PAK),2,4,1,189,160*,63.00,508,37.20,1,0,1,12,1,2022
RTM Mendis (SL),6,9,1,175,45*,21.87,334,52.39,0,0,1,18,1,2022
KR Mayers (WI),2,2,0,153,146,76.50,232,65.94,1,0,0,19,2,2022
DP Conway (NZ),3,6,0,151,52,25.16,297,50.84,0,1,0,23,0,2022
SPD Smith (AUS),2,3,1,151,145*,75.50,287,52.61,1,0,1,16,0,2022
KC Brathwaite (WI),2,4,1,150,94,50.00,383,39.16,0,2,0,16,0,2022
M Labuschagne (AUS),2,3,0,149,104,49.66,234,63.67,1,0,0,17,0,2022
SCJ Broad (ENG),7,8,0,138,42,17.25,142,97.18,0,0,0,19,4,2022
Mahmudul Hasan Joy (BAN),4,7,0,138,58,19.71,377,36.60,0,1,2,19,0,2022
UT Khawaja (AUS),2,4,1,137,71,45.66,254,53.93,0,1,0,15,0,2022
JD Campbell (WI),2,4,2,136,58*,68.00,229,59.38,0,1,0,17,2,2022
WA Young (NZ),3,6,0,133,56,22.16,252,52.77,0,1,0,21,0,2022
Nurul Hasan (BAN),2,4,1,131,64,43.66,218,60.09,0,2,1,18,2,2022
J Blackwood (WI),2,3,1,129,63,64.50,313,41.21,0,1,0,17,0,2022
SJ Erwee (SA),3,5,0,127,73,25.40,274,46.35,0,1,1,11,0,2022
RA Jadeja (IND),1,2,0,127,104,63.50,252,50.39,1,0,0,14,0,2022
KD Petersen (SA),3,5,0,122,42,24.40,274,44.52,0,0,0,11,0,2022
TWM Latham (NZ),3,6,0,121,76,20.16,221,54.75,0,1,1,21,0,2022
Mohammad Rizwan (PAK),2,4,0,120,40,30.00,213,56.33,0,0,0,14,0,2022
Imam-ul-Haq (PAK),2,4,0,118,49,29.50,233,50.64,0,0,0,11,0,2022
D Elgar (SA),3,5,0,107,47,21.40,227,47.13,0,0,0,16,0,2022
C Green (AUS),2,3,0,104,77,34.66,155,67.09,0,1,0,8,0,2022
J Overton (ENG),1,1,0,97,97,97.00,136,71.32,0,1,0,13,2,2022
MG Bracewell (NZ),2,4,0,96,49,24.00,163,58.89,0,0,0,15,2,2022
Najmul Hossain Shanto (BAN),4,7,0,96,42,13.71,268,35.82,0,0,1,16,0,2022
KS Williamson (NZ),2,4,0,96,48,24.00,235,40.85,0,0,0,15,0,2022
AT Carey (AUS),2,3,1,89,45,44.50,136,65.44,0,0,0,10,0,2022
TG Southee (NZ),3,6,0,86,33,14.33,94,91.48,0,0,1,14,1,2022
