,player,matches,runs,hs,batting_avg,_100,wkts,bb_inn,bowling_avg,_5w,catches_taken,stumping_made,avg_diff,season
73,JP Faulkner (AUS),1,45,23,22.50,0,6,4/51,16.33,0,0,0,6.16,2013
74,MJ Guptill (NZ),1,4,3,2.00,0,0,,,,,,,
75,SC Kerrigan (ENG),1,1,1*,-,,,,,,,,,
76,Mahmudullah (BAN),1,24,21,12.00,0,0,,,,,,,
77,BP Martin (NZ),1,1,1,0.50,0,1,1/38,78.00,0,0,0,-77.49,2013
78,T Maruma (ZIM),1,20,10,10.00,0,,,,,,,,
79,Mominul Haque (BAN),1,52,29,26.00,0,,,,,,,,
80,Rubel Hossain (BAN),1,4,4,2.00,0,2,2/87,65.50,0,1,0,-63.49,2013
81,Sajedul Islam (BAN),1,4,4,2.00,0,0,,,,,,,
82,Shahriar Nafees (BAN),1,40,29,20.00,0,,,,,,,,
83,Sikandar Raza (ZIM),1,84,60,42.00,0,,,,,,,,
84,Tamim Iqbal (BAN),1,56,49,28.00,0,,,,,,,,
85,BV Vitori (ZIM),1,19,19*,-,,,,,,,,,
86,BJ Watling (NZ),1,30,17,15.00,0,,,,,,,,
87,CR Woakes (ENG),1,42,25,42.00,0,1,1/96,96.00,0,0,0,-53.99,2013
88,Ziaur Rahman (BAN),1,14,14,7.00,0,4,4/63,17.75,0,0,0,-10.74,2013
89,MM Ali (ENG),7,286,108*,31.77,1,22,6/67,28.09,1,4,0,3.68,2014
90,JM Anderson (ENG),7,121,81,17.28,0,37,5/53,20.89,1,2,0,-3.60,2014
91,GS Ballance (ENG),7,704,156,70.40,3,0,,,,,,,
92,IR Bell (ENG),7,434,167,39.45,1,,,,,,,,
93,SCJ Broad (ENG),7,183,47,22.87,0,26,6/25,26.11,1,1,0,-3.24,2014
94,AN Cook (ENG),7,376,95,37.60,0,1,1/6,6.00,0,12,0,31.60,2014
95,SD Robson (ENG),7,336,127,30.54,1,,,,,,,,
96,JE Root (ENG),7,777,200*,97.12,3,1,1/5,56.00,0,7,0,41.12,2014
97,HMRKB Herath (SL),6,138,48,17.25,0,43,9/127,24.23,4,3,0,-6.98,2014
98,DPMD Jayawardene (SL),6,495,165,41.25,1,0,,,,,,,
99,AD Mathews (SL),6,746,160,93.25,2,5,4/44,36.20,0,2,0,57.05,2014
100,KC Sangakkara (SL),6,837,221,69.75,2,,,,,,,,
101,JK Silva (SL),6,384,64,34.90,0,,,,,,,,
102,SJ Benn (WI),5,82,25,13.66,0,28,5/39,25.03,3,6,0,-11.36,2014
103,DM Bravo (WI),5,300,109,37.50,1,0,,,,,,,
104,S Chanderpaul (WI),5,465,101*,116.25,1,,,,,,,,
105,MS Dhoni (IND),5,349,82,34.90,0,,,,,,,,
106,KA Edwards (WI),5,165,58,20.62,0,,,,,,,,
107,CJ Jordan (ENG),5,125,35,20.83,0,15,4/18,33.06,0,8,0,-12.23,2014
108,V Kohli (IND),5,134,39,13.40,0,,,,,,,,
109,B Kumar (IND),5,247,63*,27.44,0,19,6/82,26.63,2,0,0,0.81,2014
110,CA Pujara (IND),5,222,55,22.20,0,,,,,,,,
111,AM Rahane (IND),5,299,103,33.22,1,,,,,,,,
112,D Ramdin (WI),5,184,45,26.28,0,,,,,,,,
113,KAJ Roach (WI),5,38,19,6.33,0,26,5/42,20.30,1,0,0,-13.97,2014
114,JE Taylor (WI),5,92,40,13.14,0,18,4/34,26.16,0,1,0,-13.02,2014
115,M Vijay (IND),5,402,146,40.20,1,1,1/12,32.00,0,2,0,8.20,2014
116,KC Brathwaite (WI),4,541,212,90.16,2,,,,,,,,
117,RMS Eranga (SL),4,26,20*,13.00,0,12,4/93,42.58,0,1,0,-29.58,2014
118,CH Gayle (WI),4,281,80*,46.83,0,1,1/50,96.00,0,6,0,-49.16,2014
119,RA Jadeja (IND),4,177,68,22.12,0,9,3/52,46.66,0,2,0,-24.54,2014
120,MDK Perera (SL),4,24,12,3.42,0,25,5/69,27.36,2,2,0,-23.93,2014
121,LE Plunkett (ENG),4,112,55*,28.00,0,18,5/64,34.44,1,0,0,-6.44,2014
122,MJ Prior (ENG),4,179,86,29.83,0,,,,,,,,
123,WU Tharanga (SL),4,306,92,38.25,0,,,,,,,,
124,HDRL Thirimanne (SL),4,84,38,10.50,0,0,,,,,,,
125,HM Amla (SA),3,201,139*,50.25,1,,,,,,,,
126,STR Binny (IND),3,118,78,23.60,0,0,,,,,,,
127,J Blackwood (WI),3,147,66*,49.00,0,2,2/14,34.50,0,1,0,14.50,2014
128,TA Boult (NZ),3,21,12,7.00,0,9,3/48,35.22,0,1,0,-28.22,2014
129,JC Buttler (ENG),3,200,85,66.66,0,,,,,,,,
130,MD Craig (NZ),3,128,67,64.00,0,12,4/91,40.83,0,2,0,23.16,2014
