player,matches,inn,no,runs,hs,avg,bf,sr,_100,_50,_0,_4s,_6s,season
PD Salt (ENG),5,4,0,265,122,66.25,187,141.71,1,1,0,35,3,2022
CP Rizwan (UAE),7,7,1,261,67,43.50,339,76.99,0,2,0,22,1,2022
MG Bracewell (NZ),9,8,4,260,127*,65.00,231,112.55,1,0,0,22,11,2022
GJ Maxwell (AUS),11,10,2,252,80*,31.50,211,119.43,0,1,0,23,12,2022
RW Chakabva (ZIM),11,11,1,251,102,25.10,332,75.60,1,0,1,23,2,2022
DJ Mitchell (NZ),7,7,1,250,74*,41.66,293,85.32,0,2,0,24,4,2022
BKG Mendis (SL),5,5,2,249,87*,83.00,274,90.87,0,2,0,22,3,2022
Tamim Iqbal (BAN),6,6,1,248,62,49.60,302,82.11,0,3,0,37,2,2022
KH Prajapati (OMA),8,8,0,244,103,30.50,323,75.54,1,1,1,22,2,2022
TWM Latham (NZ),9,9,0,242,69,26.88,296,81.75,0,2,2,20,3,2022
CJA Amini (PNG),8,8,0,225,60,28.12,381,59.05,0,2,0,18,0,2022
HT Tector (IRE),3,3,0,225,113,75.00,248,90.72,2,0,0,21,8,2022
